"","total.seagrass","Turf.algae","total.sponges","other.inverts","corals","Unconsolidated","Consolidated","Macroalgae","dominant","Latitude","Longitude","Transect.id","depth","slope4","slope8","aspect4","aspect8","tpi","tri","roughness","flowdir"
"1",20,0,0,0,0,80,0,0,"Unconsolidated",-33.59453167,115.2168617,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"2",30.44,0,0,0,0,56.52,0,13.04,"Unconsolidated",-33.59453333,115.21683,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"3",24,0,0,0,0,60,0,16,"Unconsolidated",-33.59453,115.2167983,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"4",44,0,0,0,0,48,0,8,"Unconsolidated",-33.594525,115.2167717,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"5",48,0,0,0,0,48,0,4,"total.seagrass",-33.59452,115.2167367,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"6",36,0,0,0,0,56,0,8,"Unconsolidated",-33.59451833,115.216695,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"7",32,0,0,0,0,44,0,24,"Unconsolidated",-33.594515,115.2166533,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"8",52,0,0,0,0,48,0,0,"total.seagrass",-33.59450667,115.21661,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"9",24,0,0,0,0,76,0,0,"Unconsolidated",-33.59450167,115.2165633,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"10",24,0,0,0,0,76,0,0,"Unconsolidated",-33.59449,115.2165233,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"11",48,0,0,0,0,52,0,0,"Unconsolidated",-33.594485,115.2164817,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"12",56,0,0,0,0,32,0,12,"total.seagrass",-33.594475,115.2164417,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"13",24,0,0,0,0,24,0,52,"Macroalgae",-33.59446833,115.2164083,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"14",24,0,0,0,0,52,0,24,"Unconsolidated",-33.59446833,115.2163667,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"15",12,0,0,0,0,68,0,20,"Unconsolidated",-33.59447167,115.21632,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"16",20,0,0,0,0,44,0,36,"Unconsolidated",-33.594465,115.2162883,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"17",44,0,0,0,0,40,0,16,"total.seagrass",-33.59445333,115.2162583,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"18",20,0,0,0,0,52,0,28,"Unconsolidated",-33.59444167,115.2162367,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"19",0,0,0,0,0,48,0,52,"Macroalgae",-33.59443,115.2162167,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"20",8,0,0,0,0,48,0,44,"Unconsolidated",-33.594425,115.2161867,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"21",28,0,0,0,0,56,0,16,"Unconsolidated",-33.59442,115.216155,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
