"","cells","Class","n","Longitude","Latitude"
"1","10430","Unconsolidated",74,115.378092065333,-33.3995120664
"2","10674","Unconsolidated",97,115.376987559794,-33.4003691931959
"3","10675","Unconsolidated",2,115.37763415,-33.399940835
"4","11822","Unconsolidated",26,115.184871788462,-33.4137401280769
"5","11823","Unconsolidated",39,115.185585187037,-33.4134392590741
"6","14084","Unconsolidated",80,115.327295367901,-33.4368728809877
"7","14085","Unconsolidated",55,115.328139746429,-33.4371950596429
"8","14153","total.seagrass",45,115.499255573437,-33.4365499215625
"9","14154","total.seagrass",14,115.500477147059,-33.4351448011765
"10","14330","Unconsolidated",15,115.328770993333,-33.4375077786667
"11","14374","Unconsolidated",53,115.43926325,-33.438617833
"12","14375","Unconsolidated",40,115.440750372,-33.4385925998
"13","18887","Unconsolidated",118,115.083631022131,-33.4863207645082
"14","18888","Unconsolidated",34,115.085968668571,-33.4866662374286
"15","19024","total.seagrass",107,115.426915648413,-33.4858485583333
"16","19025","total.seagrass",49,115.428246757303,-33.4868816667416
"17","19270","total.seagrass",8,115.429589591667,-33.4875788883333
"18","19387","Unconsolidated",64,115.109678878125,-33.4910674998438
"19","19388","Unconsolidated",49,115.110440542857,-33.49202915
"20","19633","Unconsolidated",27,115.111049874074,-33.4926979622222
"21","19642","Unconsolidated",59,115.134379240678,-33.4945140111864
"22","19643","Unconsolidated",55,115.135835669091,-33.4947542125455
"23","19888","Unconsolidated",15,115.137050773333,-33.4952245573333
"24","19973","Unconsolidated",57,115.349205865152,-33.4955601251515
"25","19974","Unconsolidated",91,115.351013779121,-33.4960551097802
"26","20652","Unconsolidated",79,115.2090497925,-33.5028910625
"27","20653","Unconsolidated",59,115.211116064407,-33.5036757059322
"28","20731","total.seagrass",52,115.406869030189,-33.5040635216981
"29","20732","total.seagrass",48,115.408497807018,-33.5038473687719
"30","21188","Unconsolidated",60,115.324239005,-33.5093976391667
"31","21433","Unconsolidated",26,115.324905119231,-33.5102128207692
"32","21434","Unconsolidated",74,115.325954193506,-33.511065021948
"33","21721","total.seagrass",24,115.430687388571,-33.5146290945714
"34","21965","total.seagrass",36,115.429572575,-33.5154730304545
"35","21966","total.seagrass",3,115.430148866667,-33.5149905566667
"36","23667","total.seagrass",34,115.395825416667,-33.5347520833333
"37","23911","total.seagrass",23,115.394717251613,-33.5351837632258
"38","23912","total.seagrass",9,115.395247777778,-33.53497389
"39","24327","Unconsolidated",108,115.208888643519,-33.5407086877778
"40","24328","Unconsolidated",40,115.210551245,-33.54094716625
"41","24377","total.seagrass",10,115.334868891667,-33.542289305
"42","24390","total.seagrass",1,115.3676217,-33.54008167
"43","24391","total.seagrass",61,115.368894466129,-33.5402347580645
"44","24392","total.seagrass",26,115.370631353846,-33.5405240388462
"45","24399","Turf.algae",15,115.388907682143,-33.5419845835714
"46","24577","Unconsolidated",80,115.221574644211,-33.5429324914737
"47","24578","Unconsolidated",49,115.223576626829,-33.5438433332927
"48","24622","total.seagrass",37,115.334918575,-33.5432859632812
"49","24623","total.seagrass",21,115.335412718519,-33.5445227777778
"50","24644","total.seagrass",14,115.388293247619,-33.5427573819048
"51","24820","Unconsolidated",7,115.2156869,-33.5474033328571
"52","24868","total.seagrass",1,115.335825,-33.54495333
"53","25065","Unconsolidated",100,115.216631366667,-33.5482992857143
"54","25066","Unconsolidated",29,115.217888910345,-33.5492716089655
"55","25129","total.seagrass",24,115.377081851852,-33.5480972837037
"56","25130","Turf.algae",26,115.378379278571,-33.5480410321429
"57","25370","total.seagrass",45,115.367138078261,-33.551049746087
"58","25371","total.seagrass",24,115.367875975862,-33.5520159189655
"59","25616","total.seagrass",14,115.368049407143,-33.5525736907143
"60","25628","total.seagrass",34,115.398366738298,-33.553984893617
"61","25802","Unconsolidated",23,115.22155932963,-33.5570861114815
"62","25866","Unconsolidated",6,115.382605833333,-33.5566536116667
"63","25867","Unconsolidated",17,115.382739290909,-33.5568921221212
"64","25873","total.seagrass",14,115.397868559091,-33.5552869695455
"65","26047","Unconsolidated",86,115.221005013131,-33.5586709091919
"66","26111","total.seagrass",21,115.382453859091,-33.5582744695455
"67","26112","total.seagrass",22,115.382782155882,-33.5582464220588
"68","26292","Unconsolidated",19,115.220846915789,-33.5601743857895
"69","26355","total.seagrass",10,115.37997,-33.562274445
"70","26600","total.seagrass",4,115.380064575,-33.5625133325
"71","26601","total.seagrass",53,115.381232841379,-33.5632843389655
"72","26821","total.seagrass",6,115.320037385714,-33.5673152371429
"73","26822","total.seagrass",63,115.321015242029,-33.5673069082609
"74","26849","total.seagrass",15,115.389544278261,-33.5656874643478
"75","26850","total.seagrass",29,115.391224066,-33.5657039664
"76","27020","Unconsolidated",33,115.203700716667,-33.5694488095238
"77","27067","total.seagrass",20,115.322319214286,-33.5674881742857
"78","27068","total.seagrass",23,115.323188336111,-33.5675715283333
"79","27265","Unconsolidated",44,115.203621184286,-33.5707951908571
"80","27763","Unconsolidated",29,115.223571663158,-33.5770266231579
"81","28007","Unconsolidated",46,115.222442952083,-33.5789308685417
"82","28008","Unconsolidated",27,115.222953782927,-33.5779021541463
"83","28493","Unconsolidated",33,115.212097854286,-33.5847109042857
"84","28494","Unconsolidated",16,115.212905688235,-33.5844952935294
"85","28737","total.seagrass",10,115.209771671429,-33.5854830166667
"86","28738","Unconsolidated",26,115.210856096,-33.5851780006
"87","29235","Unconsolidated",32,115.229684145714,-33.5908047622857
"88","29236","Unconsolidated",32,115.23064277234,-33.5918726591489
"89","29474","Unconsolidated",33,115.214317062903,-33.5942441401613
"90","29475","Unconsolidated",44,115.215953033333,-33.594402583
"91","29485","Unconsolidated",146,115.2405556,-33.5941667
"92","29745","total.seagrass",35,115.278806162791,-33.5969532560465
"93","29990","total.seagrass",55,115.278995842667,-33.5982691329333
"94","7554","total.seagrass",3,115.540085566667,-33.3685333333333
"95","7555","total.seagrass",43,115.540968815068,-33.3686191784931
"96","8275","total.seagrass",56,115.50473565814,-33.3767069183721
"97","8520","total.seagrass",57,115.504291105263,-33.3782660522105
"98","8587","Unconsolidated",4,115.059891275,-33.3814833325
"99","8588","Unconsolidated",11,115.060706672727,-33.3808769690909
