"","total.seagrass","Turf.algae","total.sponges","other.inverts","corals","Unconsolidated","Consolidated","Macroalgae","dominant","Latitude","Longitude","Zone","Transect","Transect.id"
"1",20,0,0,0,0,80,0,0,"Unconsolidated",-33.59453167,115.2168617,"HPZ",2,"HPZ.2"
"2",30.44,0,0,0,0,56.52,0,13.04,"Unconsolidated",-33.59453333,115.21683,"HPZ",2,"HPZ.2"
"3",24,0,0,0,0,60,0,16,"Unconsolidated",-33.59453,115.2167983,"HPZ",2,"HPZ.2"
"4",44,0,0,0,0,48,0,8,"Unconsolidated",-33.594525,115.2167717,"HPZ",2,"HPZ.2"
"5",48,0,0,0,0,48,0,4,"total.seagrass",-33.59452,115.2167367,"HPZ",2,"HPZ.2"
"6",36,0,0,0,0,56,0,8,"Unconsolidated",-33.59451833,115.216695,"HPZ",2,"HPZ.2"
"7",32,0,0,0,0,44,0,24,"Unconsolidated",-33.594515,115.2166533,"HPZ",2,"HPZ.2"
"8",52,0,0,0,0,48,0,0,"total.seagrass",-33.59450667,115.21661,"HPZ",2,"HPZ.2"
"9",24,0,0,0,0,76,0,0,"Unconsolidated",-33.59450167,115.2165633,"HPZ",2,"HPZ.2"
"10",24,0,0,0,0,76,0,0,"Unconsolidated",-33.59449,115.2165233,"HPZ",2,"HPZ.2"
"11",48,0,0,0,0,52,0,0,"Unconsolidated",-33.594485,115.2164817,"HPZ",2,"HPZ.2"
"12",56,0,0,0,0,32,0,12,"total.seagrass",-33.594475,115.2164417,"HPZ",2,"HPZ.2"
"13",24,0,0,0,0,24,0,52,"Macroalgae",-33.59446833,115.2164083,"HPZ",2,"HPZ.2"
"14",24,0,0,0,0,52,0,24,"Unconsolidated",-33.59446833,115.2163667,"HPZ",2,"HPZ.2"
"15",12,0,0,0,0,68,0,20,"Unconsolidated",-33.59447167,115.21632,"HPZ",2,"HPZ.2"
"16",20,0,0,0,0,44,0,36,"Unconsolidated",-33.594465,115.2162883,"HPZ",2,"HPZ.2"
"17",44,0,0,0,0,40,0,16,"total.seagrass",-33.59445333,115.2162583,"HPZ",2,"HPZ.2"
"18",20,0,0,0,0,52,0,28,"Unconsolidated",-33.59444167,115.2162367,"HPZ",2,"HPZ.2"
"19",0,0,0,0,0,48,0,52,"Macroalgae",-33.59443,115.2162167,"HPZ",2,"HPZ.2"
"20",8,0,0,0,0,48,0,44,"Unconsolidated",-33.594425,115.2161867,"HPZ",2,"HPZ.2"
"21",28,0,0,0,0,56,0,16,"Unconsolidated",-33.59442,115.216155,"HPZ",2,"HPZ.2"
"22",20,0,0,0,0,72,0,8,"Unconsolidated",-33.59441333,115.216135,"HPZ",2,"HPZ.2"
"23",0,0,0,0,0,88,0,12,"Unconsolidated",-33.59441167,115.2161083,"HPZ",2,"HPZ.2"
"24",44,0,0,0,0,44,0,8,"total.seagrass",-33.594405,115.2160817,"HPZ",2,"HPZ.2"
"25",56,0,0,0,0,44,0,0,"total.seagrass",-33.59440167,115.2160583,"HPZ",2,"HPZ.2"
"26",8,0,0,0,0,40,0,52,"Macroalgae",-33.59439833,115.2160367,"HPZ",2,"HPZ.2"
"27",64,0,0,0,0,36,0,0,"total.seagrass",-33.594385,115.2160133,"HPZ",2,"HPZ.2"
"28",28,0,0,0,0,36,0,36,"Unconsolidated",-33.59437833,115.2159917,"HPZ",2,"HPZ.2"
"29",28,0,0,0,0,36,0,36,"Unconsolidated",-33.59437833,115.21596,"HPZ",2,"HPZ.2"
"30",8,0,0,0,0,56,0,36,"Unconsolidated",-33.59437833,115.2159317,"HPZ",2,"HPZ.2"
"31",20,0,0,0,0,76,4,0,"Unconsolidated",-33.59437667,115.2159133,"HPZ",2,"HPZ.2"
"32",4,0,0,0,0,76,4,16,"Unconsolidated",-33.59436833,115.21589,"HPZ",2,"HPZ.2"
"33",16,0,0,0,0,84,0,0,"Unconsolidated",-33.594355,115.21587,"HPZ",2,"HPZ.2"
"34",8,0,0,0,0,84,4,4,"Unconsolidated",-33.59435667,115.2158517,"HPZ",2,"HPZ.2"
"35",4,0,0,0,0,72,0,24,"Unconsolidated",-33.59434833,115.2158233,"HPZ",2,"HPZ.2"
"36",0,0,0,0,0,80,0,20,"Unconsolidated",-33.59434167,115.2157967,"HPZ",2,"HPZ.2"
"37",16,0,0,0,0,40,0,44,"Macroalgae",-33.59433833,115.21577,"HPZ",2,"HPZ.2"
"38",0,0,0,0,0,60,0,40,"Unconsolidated",-33.59433667,115.2157417,"HPZ",2,"HPZ.2"
"39",0,0,0,0,0,64,0,36,"Unconsolidated",-33.59433333,115.215715,"HPZ",2,"HPZ.2"
"40",0,0,0,0,0,72,0,28,"Unconsolidated",-33.59433333,115.215685,"HPZ",2,"HPZ.2"
"41",0,0,0,0,0,88,0,12,"Unconsolidated",-33.59433667,115.2156667,"HPZ",2,"HPZ.2"
"42",0,0,0,0,0,88,0,12,"Unconsolidated",-33.59434167,115.2156467,"HPZ",2,"HPZ.2"
"43",0,0,0,0,0,96,0,4,"Unconsolidated",-33.59435,115.2156183,"HPZ",2,"HPZ.2"
"44",4,0,0,0,0,84,4,8,"Unconsolidated",-33.59435333,115.2155867,"HPZ",2,"HPZ.2"
"45",16,0,0,0,0,56,0,28,"Unconsolidated",-33.59435167,115.2155667,"HPZ",2,"HPZ.2"
"46",40,0,0,0,0,56,0,4,"Unconsolidated",-33.59435,115.2155433,"HPZ",2,"HPZ.2"
"47",28,0,0,0,0,44,4,24,"Unconsolidated",-33.59434667,115.2155167,"HPZ",2,"HPZ.2"
"48",8,0,0,0,0,72,4,16,"Unconsolidated",-33.59434,115.2154917,"HPZ",2,"HPZ.2"
"49",64,0,0,0,0,32,0,4,"total.seagrass",-33.59434,115.2154683,"HPZ",2,"HPZ.2"
"50",16,0,0,0,0,48,12,24,"Unconsolidated",-33.59434,115.2154417,"HPZ",2,"HPZ.2"
"51",36,0,0,0,0,60,0,4,"Unconsolidated",-33.59434,115.215415,"HPZ",2,"HPZ.2"
"52",36,0,0,0,0,52,0,12,"Unconsolidated",-33.594345,115.2153917,"HPZ",2,"HPZ.2"
"53",32,0,0,0,0,56,4,8,"Unconsolidated",-33.59434833,115.215355,"HPZ",2,"HPZ.2"
"54",64,0,0,0,0,24,0,12,"total.seagrass",-33.59435333,115.2153267,"HPZ",2,"HPZ.2"
"55",36,0,0,0,0,36,0,28,"total.seagrass",-33.59435333,115.2153,"HPZ",2,"HPZ.2"
"56",36,0,0,0,0,36,0,28,"total.seagrass",-33.59435333,115.215265,"HPZ",2,"HPZ.2"
"57",44,0,0,0,0,36,0,20,"total.seagrass",-33.59435333,115.2152417,"HPZ",2,"HPZ.2"
"58",0,0,0,0,0,60,0,40,"Unconsolidated",-33.59435,115.2152183,"HPZ",2,"HPZ.2"
"59",8,0,0,0,0,80,0,12,"Unconsolidated",-33.59434667,115.21519,"HPZ",2,"HPZ.2"
"60",16,0,0,0,0,64,0,20,"Unconsolidated",-33.59434833,115.215155,"HPZ",2,"HPZ.2"
"61",8,0,0,0,0,64,0,28,"Unconsolidated",-33.59434667,115.2151217,"HPZ",2,"HPZ.2"
"62",20,0,0,0,0,56,0,24,"Unconsolidated",-33.59433833,115.2150917,"HPZ",2,"HPZ.2"
"63",12,0,0,0,0,80,0,8,"Unconsolidated",-33.59433,115.21507,"HPZ",2,"HPZ.2"
"64",16,0,0,0,0,64,0,20,"Unconsolidated",-33.594325,115.215045,"HPZ",2,"HPZ.2"
"65",12,0,0,0,0,60,0,28,"Unconsolidated",-33.59431667,115.21502,"HPZ",2,"HPZ.2"
"66",0,0,0,0,0,68,0,32,"Unconsolidated",-33.59431167,115.2149883,"HPZ",2,"HPZ.2"
"67",0,0,0,0,0,48,4,48,"Unconsolidated",-33.59430667,115.2149633,"HPZ",2,"HPZ.2"
"68",24,0,0,0,0,60,0,16,"Unconsolidated",-33.59430167,115.2149283,"HPZ",2,"HPZ.2"
"69",40,0,0,0,0,44,0,16,"Unconsolidated",-33.594305,115.2148983,"HPZ",2,"HPZ.2"
"70",80,0,0,0,0,20,0,0,"total.seagrass",-33.5943,115.2148683,"HPZ",2,"HPZ.2"
"71",36,0,0,0,0,20,0,44,"Macroalgae",-33.59429667,115.214845,"HPZ",2,"HPZ.2"
"72",40,0,0,0,0,8,8,44,"Macroalgae",-33.59429167,115.2148233,"HPZ",2,"HPZ.2"
"73",40,0,0,0,0,32,0,28,"total.seagrass",-33.59428333,115.21479,"HPZ",2,"HPZ.2"
"74",32,0,0,0,0,44,0,24,"Unconsolidated",-33.59427833,115.2147617,"HPZ",2,"HPZ.2"
"75",68,0,0,0,0,8,0,24,"total.seagrass",-33.594275,115.2147367,"HPZ",2,"HPZ.2"
"76",64,0,0,0,0,0,0,36,"total.seagrass",-33.59427333,115.2147133,"HPZ",2,"HPZ.2"
"77",12,0,0,0,0,24,0,64,"Macroalgae",-33.59427167,115.214695,"HPZ",2,"HPZ.2"
"78",16,0,0,0,0,44,0,36,"Unconsolidated",-33.59427333,115.2146667,"HPZ",2,"HPZ.2"
"79",0,0,0,0,0,64,0,36,"Unconsolidated",-33.59426667,115.214635,"HPZ",2,"HPZ.2"
"80",0,0,0,0,0,72,0,28,"Unconsolidated",-33.59426167,115.2146133,"HPZ",2,"HPZ.2"
"81",12,0,0,0,0,60,0,28,"Unconsolidated",-33.59425667,115.21459,"HPZ",2,"HPZ.2"
"82",0,0,0,0,0,56,0,44,"Unconsolidated",-33.594255,115.2145633,"HPZ",2,"HPZ.2"
"83",0,0,0,0,0,24,0,76,"Macroalgae",-33.59425333,115.21454,"HPZ",2,"HPZ.2"
"84",0,0,0,0,0,72,0,28,"Unconsolidated",-33.59425167,115.2145067,"HPZ",2,"HPZ.2"
"85",4,0,0,0,0,76,0,20,"Unconsolidated",-33.59425333,115.2144717,"HPZ",2,"HPZ.2"
"86",0,0,0,0,0,84,0,16,"Unconsolidated",-33.594255,115.2144467,"HPZ",2,"HPZ.2"
"87",0,0,0,0,0,56,0,40,"Unconsolidated",-33.59425167,115.2144183,"HPZ",2,"HPZ.2"
"88",12,0,0,0,0,68,0,20,"Unconsolidated",-33.59425,115.2144033,"HPZ",2,"HPZ.2"
"89",16,0,0,0,0,36,0,48,"Macroalgae",-33.59425,115.2143733,"HPZ",2,"HPZ.2"
"90",24,0,0,0,0,16,0,60,"Macroalgae",-33.594255,115.2143533,"HPZ",2,"HPZ.2"
"91",76,0,0,0,0,20,0,4,"total.seagrass",-33.59425667,115.2143233,"HPZ",2,"HPZ.2"
"92",0,0,0,0,0,16,0,84,"Macroalgae",-33.594255,115.214295,"HPZ",2,"HPZ.2"
"93",0,0,0,0,0,52,0,48,"Unconsolidated",-33.594255,115.214275,"HPZ",2,"HPZ.2"
"94",0,0,4,0,0,64,0,32,"Unconsolidated",-33.59425667,115.214255,"HPZ",2,"HPZ.2"
"95",16,0,0,0,0,48,0,36,"Unconsolidated",-33.59425833,115.2142217,"HPZ",2,"HPZ.2"
"96",16,0,0,0,0,28,0,56,"Macroalgae",-33.59425333,115.214205,"HPZ",2,"HPZ.2"
"97",20,0,0,0,0,24,0,56,"Macroalgae",-33.59424833,115.2141817,"HPZ",2,"HPZ.2"
"98",44,0,0,0,0,48,0,8,"Unconsolidated",-33.59424167,115.2141583,"HPZ",2,"HPZ.2"
"99",0,0,0,0,0,36,0,64,"Macroalgae",-33.594235,115.2141433,"HPZ",2,"HPZ.2"
"100",0,0,0,0,0,40,0,60,"Macroalgae",-33.59422333,115.2141133,"HPZ",2,"HPZ.2"
"101",12,0,0,0,0,48,0,40,"Unconsolidated",-33.59421167,115.214085,"HPZ",2,"HPZ.2"
"102",24,0,0,0,0,52,0,24,"Unconsolidated",-33.594215,115.2140567,"HPZ",2,"HPZ.2"
"103",24,0,0,0,0,48,0,28,"Unconsolidated",-33.59421167,115.2140317,"HPZ",2,"HPZ.2"
"104",0,0,0,0,0,68,0,32,"Unconsolidated",-33.59421167,115.21401,"HPZ",2,"HPZ.2"
"105",0,0,0,0,0,76,0,24,"Unconsolidated",-33.59421833,115.21399,"HPZ",2,"HPZ.2"
"106",0,0,0,0,0,56,0,44,"Unconsolidated",-33.59421833,115.2139683,"HPZ",2,"HPZ.2"
"107",16,0,0,0,0,48,0,28,"Unconsolidated",-33.59422167,115.21394,"HPZ",2,"HPZ.2"
"108",20,0,0,0,0,64,0,16,"Unconsolidated",-33.59421667,115.2139133,"HPZ",2,"HPZ.2"
"109",12,0,0,0,0,28,0,60,"Macroalgae",-33.59421333,115.2138817,"HPZ",2,"HPZ.2"
"110",64,0,0,0,0,36,0,0,"total.seagrass",-33.59421333,115.2138433,"HPZ",2,"HPZ.2"
