"","campaignid","sample","latitude","longitude","Macroalgae","Turf.algae","Stony.corals","Unconsolidated","Seagrasses","Sponges","Consolidated","Other"
"1","r20150526_024446_wa-gb-auv-01","PR_20150526_024929_398_FC16",-33.5731302,115.1924801,1,1,0,1,1,1,1,0
"2","r20150526_024446_wa-gb-auv-01","PR_20150526_024939_902_FC16",-33.5731286,115.1925965,1,1,0,1,1,0,0,0
"3","r20150526_024446_wa-gb-auv-01","PR_20150526_024950_407_FC16",-33.5731316,115.1927149,1,1,0,1,1,0,0,0
"4","r20150526_024446_wa-gb-auv-01","PR_20150526_025000_911_FC16",-33.5731365,115.1928344,1,1,0,1,1,0,1,0
"5","r20150526_024446_wa-gb-auv-01","PR_20150526_025011_416_FC16",-33.5731339,115.1929535,1,1,0,1,0,0,0,0
"6","r20150526_024446_wa-gb-auv-01","PR_20150526_025021_920_FC16",-33.5731345,115.1930714,1,0,0,1,1,0,1,0
"7","r20150526_024446_wa-gb-auv-01","PR_20150526_025032_423_FC16",-33.5731364,115.1931938,1,0,0,1,1,0,0,0
"8","r20150526_024446_wa-gb-auv-01","PR_20150526_025042_926_FC16",-33.5731396,115.1933141,1,0,0,1,1,0,0,0
"9","r20150526_024446_wa-gb-auv-01","PR_20150526_025053_430_FC16",-33.5731432,115.1934344,1,0,0,1,1,0,1,0
"10","r20150526_024446_wa-gb-auv-01","PR_20150526_025103_934_FC16",-33.5731472,115.193555,1,1,0,1,0,0,1,0
"11","r20150526_024446_wa-gb-auv-01","PR_20150526_025114_438_FC16",-33.5731489,115.1936737,0,0,0,1,1,0,0,0
"12","r20150526_024446_wa-gb-auv-01","PR_20150526_025124_943_FC16",-33.5731541,115.1937921,1,1,0,1,1,0,0,0
"13","r20150526_024446_wa-gb-auv-01","PR_20150526_025135_447_FC16",-33.573161,115.1939134,1,0,0,1,1,0,0,0
"14","r20150526_024446_wa-gb-auv-01","PR_20150526_025145_951_FC16",-33.5731633,115.1940333,1,0,0,1,1,0,0,0
"15","r20150526_024446_wa-gb-auv-01","PR_20150526_025156_454_FC16",-33.5731688,115.1941517,1,0,0,1,1,0,0,0
"16","r20150526_024446_wa-gb-auv-01","PR_20150526_025206_958_FC16",-33.5731732,115.1942735,0,0,0,1,1,0,0,0
"17","r20150526_024446_wa-gb-auv-01","PR_20150526_025217_462_FC16",-33.5731776,115.1943948,1,0,0,1,1,0,0,0
"18","r20150526_024446_wa-gb-auv-01","PR_20150526_025227_965_FC16",-33.5731839,115.1945156,0,0,0,1,1,0,0,0
"19","r20150526_024446_wa-gb-auv-01","PR_20150526_025238_468_FC16",-33.5731916,115.194636,0,0,0,1,1,0,0,0
"20","r20150526_024446_wa-gb-auv-01","PR_20150526_025248_971_FC16",-33.573192,115.1947541,1,0,0,1,1,0,0,0
"21","r20150526_024446_wa-gb-auv-01","PR_20150526_025259_473_FC16",-33.5731962,115.1948762,1,1,0,1,1,0,0,0
"22","r20150526_024446_wa-gb-auv-01","PR_20150526_025309_976_FC16",-33.5732014,115.1949985,1,1,0,1,1,0,0,0
"23","r20150526_024446_wa-gb-auv-01","PR_20150526_025320_479_FC16",-33.5732047,115.195118,0,0,0,1,1,0,0,0
"24","r20150526_024446_wa-gb-auv-01","PR_20150526_025330_983_FC16",-33.5732095,115.1952364,1,1,0,1,1,0,1,0
"25","r20150526_024446_wa-gb-auv-01","PR_20150526_025341_487_FC16",-33.573213,115.1953583,1,1,0,1,1,0,0,0
"26","r20150526_024446_wa-gb-auv-01","PR_20150526_025351_990_FC16",-33.573218,115.1954788,1,1,0,1,1,0,0,1
"27","r20150526_024446_wa-gb-auv-01","PR_20150526_025402_494_FC16",-33.5732182,115.195598,1,1,0,1,1,0,1,0
"28","r20150526_024446_wa-gb-auv-01","PR_20150526_025412_998_FC16",-33.5732222,115.195721,1,1,0,1,1,0,0,0
"29","r20150526_024446_wa-gb-auv-01","PR_20150526_025423_502_FC16",-33.5732246,115.1958398,1,1,0,1,1,0,0,1
"30","r20150526_024446_wa-gb-auv-01","PR_20150526_025434_006_FC16",-33.5732242,115.1959543,1,1,0,1,1,0,0,0
"31","r20150526_024446_wa-gb-auv-01","PR_20150526_025444_509_FC16",-33.5731514,115.1959987,1,0,0,1,1,0,0,0
"32","r20150526_024446_wa-gb-auv-01","PR_20150526_025455_013_FC16",-33.5730408,115.1959972,0,0,0,1,1,0,0,0
"33","r20150526_024446_wa-gb-auv-01","PR_20150526_025505_517_FC16",-33.5729354,115.1960042,1,1,0,1,1,0,1,0
"34","r20150526_024446_wa-gb-auv-01","PR_20150526_025516_020_FC16",-33.5728323,115.1960098,1,1,0,1,1,0,0,0
"35","r20150526_024446_wa-gb-auv-01","PR_20150526_025526_523_FC16",-33.5727266,115.1960154,1,0,0,1,1,0,0,0
"36","r20150526_024446_wa-gb-auv-01","PR_20150526_025537_026_FC16",-33.572623,115.1960209,1,0,0,1,1,0,1,0
"37","r20150526_024446_wa-gb-auv-01","PR_20150526_025547_529_FC16",-33.5725208,115.1960311,1,0,0,1,1,0,1,0
"38","r20150526_024446_wa-gb-auv-01","PR_20150526_025558_032_FC16",-33.5724207,115.1960403,1,0,0,0,1,0,1,0
"39","r20150526_024446_wa-gb-auv-01","PR_20150526_025608_535_FC16",-33.5723222,115.1960455,1,0,0,1,1,0,0,0
"40","r20150526_024446_wa-gb-auv-01","PR_20150526_025619_038_FC16",-33.5722729,115.1959696,1,1,0,1,1,0,1,0
"41","r20150526_024446_wa-gb-auv-01","PR_20150526_025629_541_FC16",-33.5722903,115.1958435,1,0,0,1,1,0,0,1
"42","r20150526_024446_wa-gb-auv-01","PR_20150526_025640_045_FC16",-33.572275,115.1957091,1,0,0,1,1,0,1,0
"43","r20150526_024446_wa-gb-auv-01","PR_20150526_025650_549_FC16",-33.5722661,115.1955827,0,0,0,1,1,0,0,0
"44","r20150526_024446_wa-gb-auv-01","PR_20150526_025701_052_FC16",-33.5722636,115.1954626,0,0,0,1,1,0,0,0
"45","r20150526_024446_wa-gb-auv-01","PR_20150526_025711_556_FC16",-33.5722503,115.1953414,0,0,0,1,1,0,0,0
"46","r20150526_024446_wa-gb-auv-01","PR_20150526_025722_059_FC16",-33.5722375,115.1952211,1,0,0,1,1,0,0,0
"47","r20150526_024446_wa-gb-auv-01","PR_20150526_025732_563_FC16",-33.5722281,115.1951033,1,0,0,1,1,0,0,0
"48","r20150526_024446_wa-gb-auv-01","PR_20150526_025743_067_FC16",-33.5722166,115.1949839,1,0,0,1,1,0,1,0
"49","r20150526_024446_wa-gb-auv-01","PR_20150526_025753_573_FC16",-33.5722039,115.1948634,1,0,0,1,1,1,0,0
"50","r20150526_024446_wa-gb-auv-01","PR_20150526_025804_078_FC16",-33.5721921,115.1947426,1,0,0,1,1,0,1,0
"51","r20150526_024446_wa-gb-auv-01","PR_20150526_025814_583_FC16",-33.572183,115.1946225,1,1,0,1,1,0,1,0
"52","r20150526_024446_wa-gb-auv-01","PR_20150526_025825_088_FC16",-33.5722318,115.1945455,1,1,0,1,0,1,1,0
"53","r20150526_024446_wa-gb-auv-01","PR_20150526_025835_594_FC16",-33.5723112,115.1945745,1,1,0,1,1,0,0,0
"54","r20150526_024446_wa-gb-auv-01","PR_20150526_025846_101_FC16",-33.5724121,115.1945792,1,1,0,1,1,0,1,0
"55","r20150526_024446_wa-gb-auv-01","PR_20150526_025856_607_FC16",-33.5725179,115.1945792,1,1,0,1,1,0,1,0
"56","r20150526_024446_wa-gb-auv-01","PR_20150526_025907_113_FC16",-33.5726212,115.1945826,1,1,0,1,1,0,0,1
"57","r20150526_024446_wa-gb-auv-01","PR_20150526_025917_619_FC16",-33.572725,115.1945866,1,0,0,1,1,0,1,0
"58","r20150526_024446_wa-gb-auv-01","PR_20150526_025928_125_FC16",-33.5728262,115.1945816,1,0,0,1,1,0,1,1
"59","r20150526_024446_wa-gb-auv-01","PR_20150526_025938_631_FC16",-33.5729263,115.1945792,1,0,0,1,1,0,0,0
"60","r20150526_024446_wa-gb-auv-01","PR_20150526_025949_136_FC16",-33.5730263,115.1945822,1,0,0,1,1,0,0,0
"61","r20150526_024446_wa-gb-auv-01","PR_20150526_025959_641_FC16",-33.5731241,115.1945825,0,0,0,1,1,0,0,0
"62","r20150526_024446_wa-gb-auv-01","PR_20150526_030010_146_FC16",-33.5732245,115.1945785,1,0,0,1,1,0,0,0
"63","r20150526_024446_wa-gb-auv-01","PR_20150526_030020_650_FC16",-33.5733276,115.194581,1,0,0,1,1,0,0,0
"64","r20150526_024446_wa-gb-auv-01","PR_20150526_030031_155_FC16",-33.5734314,115.1945719,1,0,0,1,1,0,0,0
"65","r20150526_024446_wa-gb-auv-01","PR_20150526_030041_659_FC16",-33.5735367,115.194563,1,0,0,1,1,0,0,0
"66","r20150526_024446_wa-gb-auv-01","PR_20150526_030052_164_FC16",-33.5736394,115.1945614,0,0,0,1,1,0,1,0
"67","r20150526_024446_wa-gb-auv-01","PR_20150526_030102_669_FC16",-33.5737401,115.1945507,0,0,0,1,1,0,0,0
"68","r20150526_024446_wa-gb-auv-01","PR_20150526_030113_175_FC16",-33.5738423,115.1945454,0,0,0,1,1,0,0,0
"69","r20150526_024446_wa-gb-auv-01","PR_20150526_030123_681_FC16",-33.5739413,115.194538,0,0,0,1,1,0,0,1
"70","r20150526_024446_wa-gb-auv-01","PR_20150526_030134_186_FC16",-33.5740194,115.1944978,1,1,0,1,1,0,0,0
"71","r20150526_024446_wa-gb-auv-01","PR_20150526_030144_692_FC16",-33.5739937,115.1943845,1,1,0,1,1,0,0,0
"72","r20150526_024446_wa-gb-auv-01","PR_20150526_030155_197_FC16",-33.5739766,115.1942562,1,0,0,1,1,0,0,0
"73","r20150526_024446_wa-gb-auv-01","PR_20150526_030205_701_FC16",-33.5739597,115.1941302,0,0,0,1,1,0,0,0
"74","r20150526_024446_wa-gb-auv-01","PR_20150526_030216_206_FC16",-33.5739419,115.1940041,1,0,0,1,1,0,1,0
"75","r20150526_024446_wa-gb-auv-01","PR_20150526_030226_711_FC16",-33.5739204,115.1938805,0,1,0,1,1,0,0,0
"76","r20150526_024446_wa-gb-auv-01","PR_20150526_030237_216_FC16",-33.5739068,115.1937619,1,0,0,1,1,0,0,1
"77","r20150526_024446_wa-gb-auv-01","PR_20150526_030247_721_FC16",-33.5738901,115.1936437,1,0,0,1,1,0,0,0
"78","r20150526_024446_wa-gb-auv-01","PR_20150526_030258_226_FC16",-33.5738725,115.193523,1,0,0,1,1,0,0,0
"79","r20150526_024446_wa-gb-auv-01","PR_20150526_030308_730_FC16",-33.5738537,115.1934039,1,0,0,1,0,0,1,0
"80","r20150526_024446_wa-gb-auv-01","PR_20150526_030319_234_FC16",-33.5738393,115.1932854,1,0,0,1,1,0,0,0
"81","r20150526_024446_wa-gb-auv-01","PR_20150526_030329_737_FC16",-33.5738234,115.193168,1,1,0,1,1,0,0,0
"82","r20150526_024446_wa-gb-auv-01","PR_20150526_030340_241_FC16",-33.5737756,115.1930953,1,0,0,1,1,0,0,0
"83","r20150526_024446_wa-gb-auv-01","PR_20150526_030350_745_FC16",-33.5736904,115.1931319,1,1,0,1,1,0,0,0
"84","r20150526_024446_wa-gb-auv-01","PR_20150526_030401_248_FC16",-33.5735877,115.1931479,1,0,0,1,1,0,0,0
"85","r20150526_024446_wa-gb-auv-01","PR_20150526_030411_752_FC16",-33.5734866,115.1931617,1,1,0,1,1,0,0,0
"86","r20150526_024446_wa-gb-auv-01","PR_20150526_030422_254_FC16",-33.5733856,115.1931804,1,0,0,0,1,0,0,0
"87","r20150526_024446_wa-gb-auv-01","PR_20150526_030432_757_FC16",-33.5732842,115.1931987,1,0,0,1,1,0,0,0
"88","r20150526_024446_wa-gb-auv-01","PR_20150526_030443_259_FC16",-33.5731834,115.1932148,1,0,0,1,1,0,0,0
"89","r20150526_024446_wa-gb-auv-01","PR_20150526_030453_763_FC16",-33.5730837,115.1932307,1,1,0,1,1,0,0,0
"90","r20150526_024446_wa-gb-auv-01","PR_20150526_030504_267_FC16",-33.5729861,115.1932485,1,1,0,1,1,0,1,0
"91","r20150526_024446_wa-gb-auv-01","PR_20150526_030514_771_FC16",-33.5728871,115.1932682,1,1,0,1,1,0,1,0
"92","r20150526_024446_wa-gb-auv-01","PR_20150526_030525_276_FC16",-33.5727868,115.1932861,1,1,0,1,1,0,0,0
"93","r20150526_024446_wa-gb-auv-01","PR_20150526_030535_781_FC16",-33.5726836,115.193298,1,1,0,1,1,0,0,0
"94","r20150526_024446_wa-gb-auv-01","PR_20150526_030546_287_FC16",-33.572585,115.193315,1,0,0,1,1,0,0,0
"95","r20150526_024446_wa-gb-auv-01","PR_20150526_030556_793_FC16",-33.5724866,115.1933361,1,1,0,1,1,0,0,0
"96","r20150526_024446_wa-gb-auv-01","PR_20150526_030607_298_FC16",-33.5723853,115.1933465,1,0,0,1,1,0,0,0
"97","r20150526_024446_wa-gb-auv-01","PR_20150526_030617_803_FC16",-33.5722875,115.1933609,1,0,0,1,1,0,0,0
"98","r20150526_024446_wa-gb-auv-01","PR_20150526_030628_308_FC16",-33.5721939,115.1933795,1,0,0,1,1,0,0,0
"99","r20150526_024446_wa-gb-auv-01","PR_20150526_030638_813_FC16",-33.5720936,115.1933969,0,1,0,1,1,0,0,0
"100","r20150526_024446_wa-gb-auv-01","PR_20150526_030649_319_FC16",-33.5719968,115.1933959,1,0,0,1,1,0,0,0
"101","r20150526_024446_wa-gb-auv-01","PR_20150526_030659_823_FC16",-33.5719669,115.1933085,1,0,0,1,1,0,0,0
"102","r20150526_024446_wa-gb-auv-01","PR_20150526_030710_326_FC16",-33.5719711,115.1931812,1,0,0,1,1,0,1,0
"103","r20150526_024446_wa-gb-auv-01","PR_20150526_030720_830_FC16",-33.5719445,115.1930511,0,0,0,1,1,0,0,0
