campaignid,sample,latitude,longitude,Macroalgae,Turf.algae,Stony.corals,Unconsolidated,Seagrasses,Sponges,Consolidated,Other,Max,Max_if_2_habitats_have_same
r20150526_024446_wa-gb-auv-01,PR_20150526_024929_398_FC16,-33.5731302,115.1924801,28,28,0,12,20,4,8,0,Macroalgae,Turf.algae
r20150526_024446_wa-gb-auv-01,PR_20150526_024939_902_FC16,-33.5731286,115.1925965,28,8,0,40,24,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_024950_407_FC16,-33.5731316,115.1927149,12,28,0,52,8,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025000_911_FC16,-33.5731365,115.1928344,16,12,0,16,52,0,4,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025011_416_FC16,-33.5731339,115.1929535,52,4,0,44,0,0,0,0,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_025021_920_FC16,-33.5731345,115.1930714,4,0,0,40,48,0,8,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025032_423_FC16,-33.5731364,115.1931938,24,0,0,28,48,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025042_926_FC16,-33.5731396,115.1933141,12,0,0,24,64,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025053_430_FC16,-33.5731432,115.1934344,4,0,0,20,72,0,4,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025103_934_FC16,-33.5731472,115.193555,72,8,0,4,0,0,16,0,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_025114_438_FC16,-33.5731489,115.1936737,0,0,0,28,72,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025124_943_FC16,-33.5731541,115.1937921,16,4,0,44,36,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025135_447_FC16,-33.573161,115.1939134,28,0,0,44,28,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025145_951_FC16,-33.5731633,115.1940333,24,0,0,24,52,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025156_454_FC16,-33.5731688,115.1941517,4,0,0,28,68,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025206_958_FC16,-33.5731732,115.1942735,0,0,0,52,48,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025217_462_FC16,-33.5731776,115.1943948,4,0,0,32,64,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025227_965_FC16,-33.5731839,115.1945156,0,0,0,40,60,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025238_468_FC16,-33.5731916,115.194636,0,0,0,96,4,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025248_971_FC16,-33.573192,115.1947541,28,0,0,60,12,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025259_473_FC16,-33.5731962,115.1948762,24,4,0,24,48,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025309_976_FC16,-33.5732014,115.1949985,20,16,0,28,36,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025320_479_FC16,-33.5732047,115.195118,0,0,0,84,16,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025330_983_FC16,-33.5732095,115.1952364,24,4,0,16,44,0,12,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025341_487_FC16,-33.573213,115.1953583,40,44,0,4,12,0,0,0,Turf.algae,Turf.algae
r20150526_024446_wa-gb-auv-01,PR_20150526_025351_990_FC16,-33.573218,115.1954788,68,4,0,4,20,0,0,4,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_025402_494_FC16,-33.5732182,115.195598,36,12,0,24,24,0,4,0,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_025412_998_FC16,-33.5732222,115.195721,16,4,0,20,60,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025423_502_FC16,-33.5732246,115.1958398,40,4,0,12,40,0,0,4,Macroalgae,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025434_006_FC16,-33.5732242,115.1959543,20,4,0,8,68,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025444_509_FC16,-33.5731514,115.1959987,8,0,0,28,64,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025455_013_FC16,-33.5730408,115.1959972,0,0,0,44,56,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025505_517_FC16,-33.5729354,115.1960042,12,12,0,52,20,0,4,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025516_020_FC16,-33.5728323,115.1960098,28,4,0,20,48,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025526_523_FC16,-33.5727266,115.1960154,12,0,0,20,68,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025537_026_FC16,-33.572623,115.1960209,8,0,0,48,36,0,8,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025547_529_FC16,-33.5725208,115.1960311,12,0,0,32,52,0,4,0,Seagrasses,Seagrasses
