sample,latitude,longitude,Macroalgae,Turf.algae,Unconsolidated,Seagrasses,Sponges,Consolidated,Other,Max,Max_if_2_habitats_have_same
LGBDT1_0056,-33.59008333,115.1061,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
LGBDT1_0061,-33.58995,115.1063333,0,0,62.5,37.5,0,0,0,Unconsolidated,Unconsolidated
LGBDT1_0067,-33.58976667,115.1066,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
LGBDT1_0074,-33.58958333,115.1068333,0,0,77.78,22.22,0,0,0,Unconsolidated,Unconsolidated
LGBDT1_0077,-33.5895,115.1069833,0,0,85.71,14.29,0,0,0,Unconsolidated,Unconsolidated
LGBDT1_0084,-33.58926667,115.1072167,0,0,75,25,0,0,0,Unconsolidated,Unconsolidated
LGBDT1_0090,-33.58905,115.1074333,0,0,57.14,42.86,0,0,0,Unconsolidated,Unconsolidated
LGBDT1_0118,-33.58821667,115.1084667,0,0,66.67,33.33,0,0,0,Unconsolidated,Unconsolidated
LGBDT1_0124,-33.58798333,115.10865,0,0,16.67,83.33,0,0,0,Seagrasses,Seagrasses
LGBDT1_0130,-33.58778333,115.1089167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0130,-33.5878,115.1089167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0159,-33.5868,115.1100167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0167,-33.58653333,115.1103167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0169,-33.58645,115.1103333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0174,-33.58623333,115.1104667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0175,-33.58618333,115.1104833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0178,-33.58608333,115.1105667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0185,-33.58583333,115.11075,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0191,-33.58563333,115.1109333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0197,-33.58541667,115.1111167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0206,-33.5851,115.1113667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0207,-33.58506667,115.1114167,0,0,0,90.91,9.09,0,0,Seagrasses,Seagrasses
LGBDT1_0226,-33.58445,115.11195,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0234,-33.58413333,115.11215,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0236,-33.58405,115.1121667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0243,-33.58378333,115.1122833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0247,-33.58363333,115.1123667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0249,-33.58355,115.1124,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0253,-33.58341667,115.1125167,0,0,10,90,0,0,0,Seagrasses,Seagrasses
LGBDT1_0260,-33.5832,115.1127833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0283,-33.58238333,115.11345,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0302,-33.58171667,115.1140167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0309,-33.58146667,115.11425,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0317,-33.58115,115.1145667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0337,-33.58041667,115.11515,0,0,33.33,66.67,0,0,0,Seagrasses,Seagrasses
LGBDT1_0339,-33.58035,115.11525,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0341,-33.58026667,115.1153,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0343,-33.58018333,115.11535,0,23.08,0,76.91,0,0,0,Seagrasses,Seagrasses
LGBDT1_0343,-33.5802,115.11535,0,23.08,0,76.91,0,0,0,Seagrasses,Seagrasses
LGBDT1_0350,-33.57991667,115.1155167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0363,-33.57943333,115.1159,0,0,0,100,0,0,0,Seagrasses,Seagrasses
