"","campaignid","sample","latitude","longitude","Macroalgae","Turf.algae","Stony.corals","Unconsolidated","Seagrasses","Sponges","Consolidated"
"1","2007-03_Capes_MF_stereoBRUVs","MF-CNB1-1",-33.5201841,115.0222796,1,0,0,0,0,0,1
"2","2007-03_Capes_MF_stereoBRUVs","MF-CNB1-2",-33.52151909,115.0234335,1,0,0,0,0,0,0
"3","2007-03_Capes_MF_stereoBRUVs","MF-CNB1-3",-33.52016351,115.023249,1,0,0,0,0,0,0
"4","2007-03_Capes_MF_stereoBRUVs","MF-CNB1-4",-33.51925428,115.023345,1,0,0,0,0,0,0
"5","2007-03_Capes_MF_stereoBRUVs","MF-CNB1-5",-33.52136525,115.0250949,1,0,0,0,0,0,0
"6","2007-03_Capes_MF_stereoBRUVs","MF-CNB2-3",-33.51794849,115.0149991,1,0,0,0,0,0,0
"7","2007-03_Capes_MF_stereoBRUVs","MF-CNB2-4",-33.51828435,115.017952,1,0,0,1,0,0,0
"8","2007-03_Capes_MF_stereoBRUVs","MF-CNB2-5",-33.51696287,115.016518,1,0,0,0,1,0,0
"9","2007-03_Capes_MF_stereoBRUVs","MF-CNB3-5",-33.52011759,115.0085653,1,0,0,0,0,0,0
"10","2007-03_Capes_MF_stereoBRUVs","MF-CNB4-2",-33.52298231,114.9977657,1,0,0,1,0,0,0
"11","2007-03_Capes_MF_stereoBRUVs","MF-CNB4-5",-33.52240252,114.9987157,1,0,0,1,0,0,0
"12","2007-03_Capes_MF_stereoBRUVs","MF-CNB5-3",-33.53403354,114.996951,1,0,0,0,0,0,0
"13","2007-03_Capes_MF_stereoBRUVs","MF-CNB6-1",-33.54756813,114.9985879,1,0,0,0,0,0,0
"14","2007-03_Capes_MF_stereoBRUVs","MF-CNB6-2",-33.54500221,114.9982809,1,0,0,0,0,0,0
"15","2007-03_Capes_MF_stereoBRUVs","MF-CNB6-3",-33.54541242,114.9968822,1,0,0,0,0,0,0
"16","2007-03_Capes_MF_stereoBRUVs","MF-CNB6-4",-33.54533166,114.9996948,1,0,0,0,0,0,0
"17","2007-03_Capes_MF_stereoBRUVs","MF-CNB7-1",-33.55388232,114.9987115,1,0,0,0,0,0,1
"18","2007-03_Capes_MF_stereoBRUVs","MF-CNB7-2",-33.55381652,114.9974313,1,0,0,0,0,0,0
"19","2007-03_Capes_MF_stereoBRUVs","MF-CNB7-3",-33.55584999,114.9988276,1,0,0,0,0,0,0
"20","2007-03_Capes_MF_stereoBRUVs","MF-CNB7-4",-33.55370875,115.0008048,1,0,0,0,0,0,0
"21","2007-03_Capes_MF_stereoBRUVs","MF-CNB7-5",-33.5526784,114.9984269,1,0,0,0,0,0,0
"22","2007-03_Capes_MF_stereoBRUVs","MF-GB109",-33.55410455,115.0939042,0,0,0,1,0,0,0
"23","2007-03_Capes_MF_stereoBRUVs","MF-GB113",-33.56969737,115.2362963,0,1,0,0,0,1,0
"24","2007-03_Capes_MF_stereoBRUVs","MF-GB128",-33.56540445,115.2369006,0,0,0,1,0,0,0
"25","2007-03_Capes_MF_stereoBRUVs","MF-GB145",-33.54539738,115.1344049,0,0,0,1,1,0,0
"26","2007-03_Capes_MF_stereoBRUVs","MF-GB168",-33.54850245,115.1340043,0,0,0,1,0,0,0
"27","2007-03_Capes_MF_stereoBRUVs","MF-GB192",-33.53959924,115.1130031,0,0,0,1,0,0,0
"28","2007-03_Capes_MF_stereoBRUVs","MF-GB199",-33.53719702,115.1109986,0,0,0,0,1,0,0
"29","2007-03_Capes_MF_stereoBRUVs","MF-GB221",-33.52649658,115.0889008,0,0,0,1,0,0,0
"30","2007-03_Capes_MF_stereoBRUVs","MF-GB228",-33.5245989,115.090396,0,0,0,1,0,0,0
"31","2007-03_Capes_MF_stereoBRUVs","MF-INB1-1",-33.6619459,114.9831639,0,0,0,1,0,0,0
"32","2007-03_Capes_MF_stereoBRUVs","MF-INB1-2",-33.6612005,114.9816932,0,0,0,1,0,0,0
"33","2007-03_Capes_MF_stereoBRUVs","MF-INB1-3",-33.66507734,114.9838673,1,0,0,0,0,0,1
"34","2007-03_Capes_MF_stereoBRUVs","MF-INB1-4",-33.66036306,114.9933911,0,0,1,0,0,0,1
"35","2007-03_Capes_MF_stereoBRUVs","MF-INB1-5",-33.66203487,114.9864077,0,0,0,1,0,0,0
"36","2007-03_Capes_MF_stereoBRUVs","MF-INB2-1",-33.67111649,114.9826155,1,0,0,0,0,0,0
"37","2007-03_Capes_MF_stereoBRUVs","MF-INB2-2",-33.6712887,114.9815654,1,0,0,1,0,0,0
"38","2007-03_Capes_MF_stereoBRUVs","MF-INB2-4",-33.67150656,114.9849682,1,0,0,0,0,0,1
"39","2007-03_Capes_MF_stereoBRUVs","MF-INB2-5",-33.66978382,114.9832829,1,0,0,0,0,0,0
"40","2007-03_Capes_MF_stereoBRUVs","MF-INB3-1",-33.68479838,114.975069,1,0,0,0,0,0,0
"41","2007-03_Capes_MF_stereoBRUVs","MF-INB3-2",-33.68347354,114.9751108,1,0,0,0,0,0,0
"42","2007-03_Capes_MF_stereoBRUVs","MF-INB3-4",-33.68373952,114.9737347,1,0,0,0,0,0,0
"43","2007-03_Capes_MF_stereoBRUVs","MF-INB3-5",-33.68348113,114.9766746,1,0,0,0,0,0,0
"44","2007-03_Capes_MF_stereoBRUVs","MF-INB4-1",-33.67111649,114.9826155,1,0,0,1,0,0,0
"45","2007-03_Capes_MF_stereoBRUVs","MF-INB4-2",-33.68888923,114.9693962,1,0,0,1,0,0,0
"46","2007-03_Capes_MF_stereoBRUVs","MF-INB4-3",-33.68851061,114.9737953,1,0,0,0,1,0,0
"47","2007-03_Capes_MF_stereoBRUVs","MF-INB4-4",-33.68996345,114.969468,1,0,0,0,0,0,0
"48","2007-03_Capes_MF_stereoBRUVs","MF-INB4-5",-33.68702764,114.9696989,0,0,0,1,0,0,0
"49","2007-03_Capes_MF_stereoBRUVs","MF-INB5-1",-33.69801017,114.9641975,1,0,0,0,0,0,0
"50","2007-03_Capes_MF_stereoBRUVs","MF-INB5-2",-33.69834979,114.961827,1,0,0,1,0,0,0
"51","2007-03_Capes_MF_stereoBRUVs","MF-INB5-4",-33.70041244,114.9666114,1,0,0,1,0,0,0
"52","2007-03_Capes_MF_stereoBRUVs","MF-INB6-1",-33.71100746,114.9605892,1,0,0,0,0,0,0
"53","2007-03_Capes_MF_stereoBRUVs","MF-INB6-2",-33.71137116,114.9591348,1,0,0,0,0,0,0
"54","2007-03_Capes_MF_stereoBRUVs","MF-INB6-4",-33.70926616,114.959983,1,0,0,0,0,0,0
"55","2007-03_Capes_MF_stereoBRUVs","MF-INB6-5",-33.71164354,114.9619768,1,0,0,0,0,0,0
"56","2007-03_Capes_MF_stereoBRUVs","MF-INB7-1",-33.71843844,114.9655605,0,0,0,1,0,0,0
"57","2007-03_Capes_MF_stereoBRUVs","MF-INB7-2",-33.71646726,114.9635892,1,0,0,1,0,0,0
"58","2007-03_Capes_MF_stereoBRUVs","MF-INB7-3",-33.71996323,114.964521,0,0,0,0,1,0,0
"59","2007-03_Capes_MF_stereoBRUVs","MF-INB7-4",-33.7202064,114.9661446,0,0,0,1,0,0,0
"60","2007-03_Capes_MF_stereoBRUVs","MF-INB7-5",-33.71836314,114.9702993,1,0,0,0,0,0,0
"61","2007-03_Capes_MF_stereoBRUVs","MF-WC045",-33.66210075,114.9899,0,0,0,1,0,0,0
"62","2007-03_Capes_MF_stereoBRUVs","MF-WC065",-33.55629637,115.0018976,1,0,0,0,0,0,0
"63","2007-03_Capes_MF_stereoBRUVs","MF-WC100",-33.50760321,115.0042019,0,0,0,1,0,0,0
"64","2007-03_Capes_MF_stereoBRUVs","MF-WC101",-33.50300304,115.0030051,1,0,0,0,0,1,0
"65","2007-03_Capes_MF_stereoBRUVs","MF-WC102",-33.50199585,115.0014998,1,0,0,1,0,1,0
"66","2007-03_Capes_MF_stereoBRUVs","MF-WC104",-33.49860293,115.0260965,1,0,0,1,0,0,0
"67","2007-03_Capes_MF_stereoBRUVs","MF-WC105",-33.49780274,115.0042978,0,0,0,0,0,1,1
"68","2007-03_Capes_MF_stereoBRUVs","MF-WC106",-33.49719964,115.0066041,1,0,0,0,1,0,0
"69","2007-03_Capes_MF_stereoBRUVs","MF-WC108",-33.49580444,115.0293028,0,0,0,1,0,0,0
"70","2007-03_Capes_MF_stereoBRUVs","MF-WC110",-33.49390116,115.0056035,0,0,0,0,1,0,0
"71","2007-03_Capes_MF_stereoBRUVs","MF-WC115",-33.4842018,114.9952044,0,0,0,0,0,1,0
"72","2007-03_Capes_MF_stereoBRUVs","MF-WC116",-33.48337086,115.0018202,1,0,0,1,0,0,0
"73","2014-12_Geographe_Bay_stereoBRUVs","1",-33.36345,115.21415,0,0,0,1,0,0,0
"74","2014-12_Geographe_Bay_stereoBRUVs","10",-33.5281667,115.3313333,1,0,0,1,1,0,0
"75","2014-12_Geographe_Bay_stereoBRUVs","100",-33.4324833,115.21415,0,1,0,0,1,1,0
"76","2014-12_Geographe_Bay_stereoBRUVs","10000",-33.4135833,115.3645833,0,1,0,1,1,0,0
"77","2014-12_Geographe_Bay_stereoBRUVs","10001",-33.4217167,115.3722167,0,1,0,1,1,0,0
"78","2014-12_Geographe_Bay_stereoBRUVs","10002",-33.4234167,115.3889333,0,0,0,1,0,0,0
"79","2014-12_Geographe_Bay_stereoBRUVs","10003",-33.4213,115.35935,0,0,0,1,0,0,0
"80","2014-12_Geographe_Bay_stereoBRUVs","10004",-33.4039167,115.3976,1,1,0,1,1,1,0
"81","2014-12_Geographe_Bay_stereoBRUVs","10005",-33.4777667,115.3694,1,1,0,1,0,0,0
"82","2014-12_Geographe_Bay_stereoBRUVs","101",-33.3885833,115.37675,0,0,0,1,1,0,0
"83","2014-12_Geographe_Bay_stereoBRUVs","102",-33.5185,115.1196,0,0,0,1,0,0,0
"84","2014-12_Geographe_Bay_stereoBRUVs","103",-33.4581167,115.4547167,0,1,0,1,1,0,0
"85","2014-12_Geographe_Bay_stereoBRUVs","1038",-33.5333333,115.4200167,0,1,0,0,1,0,0
"86","2014-12_Geographe_Bay_stereoBRUVs","104",-33.4597333,115.2450667,0,1,0,1,0,1,0
"87","2014-12_Geographe_Bay_stereoBRUVs","106",-33.57825,115.3451333,0,0,0,0,1,0,0
"88","2014-12_Geographe_Bay_stereoBRUVs","107",-33.5833333,115.1881167,0,1,0,1,1,0,0
"89","2014-12_Geographe_Bay_stereoBRUVs","108",-33.4690833,115.1676667,0,0,0,1,0,0,0
"90","2014-12_Geographe_Bay_stereoBRUVs","11",-33.5712167,115.2958167,0,1,0,1,1,0,0
"91","2014-12_Geographe_Bay_stereoBRUVs","110",-33.4022667,115.3556833,0,0,0,1,0,0,0
"92","2014-12_Geographe_Bay_stereoBRUVs","1108",-33.5580167,115.41435,0,0,0,1,1,0,0
"93","2014-12_Geographe_Bay_stereoBRUVs","111",-33.5369,115.3219167,0,1,0,1,1,0,0
"94","2014-12_Geographe_Bay_stereoBRUVs","112",-33.4052,115.5224,1,0,0,0,1,0,0
"95","2014-12_Geographe_Bay_stereoBRUVs","113",-33.3658333,115.27785,0,0,0,1,0,0,0
"96","2014-12_Geographe_Bay_stereoBRUVs","114",-33.3984333,115.1639167,0,0,0,1,0,0,0
"97","2014-12_Geographe_Bay_stereoBRUVs","115",-33.4446333,115.4064667,0,0,0,1,0,0,0
"98","2014-12_Geographe_Bay_stereoBRUVs","116",-33.4981667,115.2863667,0,0,0,1,0,0,0
"99","2014-12_Geographe_Bay_stereoBRUVs","119",-33.4388333,115.5567333,1,1,0,0,1,0,0
"100","2014-12_Geographe_Bay_stereoBRUVs","11R1",-33.35885,115.3694,0,1,0,1,0,0,0
"101","2014-12_Geographe_Bay_stereoBRUVs","11R2",-33.3967333,115.5076167,0,1,0,1,1,0,0
"102","2014-12_Geographe_Bay_stereoBRUVs","11R3",-33.41215,115.5204667,0,0,0,0,1,0,0
"103","2014-12_Geographe_Bay_stereoBRUVs","11R4",-33.4197,115.51755,1,1,0,0,0,0,0
"104","2014-12_Geographe_Bay_stereoBRUVs","12",-33.40395,115.2615667,0,0,0,1,0,0,0
"105","2014-12_Geographe_Bay_stereoBRUVs","122",-33.5375,115.4020833,0,1,0,1,1,0,0
