"campaignid","sample","latitude","longitude","Strap.like.leaves","Strap.like.leaves.with.epiphytes","Amphibolis","Amphibolis.with.epiphytes","Posidonia","Posidonia.with.epiphytes","Zostera","Macroalgae","Turf.algae","Erect.coarse.branching","Erect.fine.branching","Large.canopy.forming","Ecklonia.radiata","Scytothalia.dorycarpa","Sponges","Corals"
"2007-03_Capes_MF_stereoBRUVs","MF-CNB1-1",-33.5201841,115.0222796,0,0,0,0,0,0,0,95,0,0,0,95,55,40,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB1-2",-33.52151909,115.0234335,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB1-3",-33.52016351,115.023249,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB1-4",-33.51925428,115.023345,0,0,0,0,0,0,0,100,0,0,85,15,10,5,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB1-5",-33.52136525,115.0250949,0,0,0,0,0,0,0,100,0,0,0,50,20,30,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB2-3",-33.51794849,115.0149991,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB2-4",-33.51828435,115.017952,0,0,0,0,0,0,0,90,0,0,0,85,35,50,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB2-5",-33.51696287,115.016518,60,0,0,0,60,0,0,40,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB3-5",-33.52011759,115.0085653,0,0,0,0,0,0,0,100,0,0,0,100,0,100,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB4-2",-33.52298231,114.9977657,0,0,0,0,0,0,0,40,0,0,0,20,20,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB4-5",-33.52240252,114.9987157,0,0,0,0,0,0,0,80,0,0,0,40,33.33,6.67,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB5-3",-33.53403354,114.996951,0,0,0,0,0,0,0,100,0,0,0,100,0,100,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB6-1",-33.54756813,114.9985879,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB6-2",-33.54500221,114.9982809,0,0,0,0,0,0,0,100,0,0,0,100,0,100,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB6-3",-33.54541242,114.9968822,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB6-4",-33.54533166,114.9996948,0,0,0,0,0,0,0,100,0,0,0,100,64.71,35.29,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB7-1",-33.55388232,114.9987115,0,0,0,0,0,0,0,80,0,0,0,80,0,80,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB7-2",-33.55381652,114.9974313,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB7-3",-33.55584999,114.9988276,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB7-4",-33.55370875,115.0008048,0,0,0,0,0,0,0,100,0,0,0,11.11,11.11,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-CNB7-5",-33.5526784,114.9984269,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-GB109",-33.55410455,115.0939042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-GB113",-33.56969737,115.2362963,0,0,0,0,0,0,0,90,90,0,0,0,0,0,10,0
"2007-03_Capes_MF_stereoBRUVs","MF-GB128",-33.56540445,115.2369006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-GB145",-33.54539738,115.1344049,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-GB168",-33.54850245,115.1340043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-GB192",-33.53959924,115.1130031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-GB199",-33.53719702,115.1109986,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-GB221",-33.52649658,115.0889008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-GB228",-33.5245989,115.090396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-INB1-1",-33.6619459,114.9831639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-INB1-2",-33.6612005,114.9816932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-INB1-3",-33.66507734,114.9838673,0,0,0,0,0,0,0,92.86,0,0,92.86,0,0,0,0,0
"2007-03_Capes_MF_stereoBRUVs","MF-INB1-4",-33.66036306,114.9933911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
