"","X","campaignid","sample","depth","slope4","slope8","aspect4","aspect8","tpi","tri","roughness","flowdir","latitude","longitude","Class","presence.absence"
"1",1,"r20150526_024446_wa-gb-auv-01","PR_20150526_024929_398_FC16",-22.2533645629883,0.109800540936022,0.109800540936022,142.74036134855,142.74036134855,-0.00395631790161133,0.0143609046936035,0.0460796356201172,1,-33.5731302,115.1924801,"Macroalgae",1
"2",2,"r20150526_024446_wa-gb-auv-01","PR_20150526_024939_902_FC16",-22.262601852417,0.0851624238206887,0.0851624238206887,105.513663979983,105.513663979983,0.00121545791625977,0.0162806510925293,0.0677967071533203,1,-33.5731286,115.1925965,"Macroalgae",1
"3",3,"r20150526_024446_wa-gb-auv-01","PR_20150526_024950_407_FC16",-22.2848682403564,0.116134013522699,0.116134013522699,309.522136999782,309.522136999782,-0.0315418243408203,0.0344281196594238,0.0826911926269531,64,-33.5731316,115.1927149,"Macroalgae",1
"4",4,"r20150526_024446_wa-gb-auv-01","PR_20150526_025000_911_FC16",-22.2284564971924,0.436152219123452,0.436152219123452,285.283403263856,285.283403263856,-0.015540599822998,0.0586719512939453,0.183403015136719,16,-33.5731365,115.1928344,"Macroalgae",1
"5",5,"r20150526_024446_wa-gb-auv-01","PR_20150526_025011_416_FC16",-22.1298923492432,0.409885567986014,0.409885567986014,288.877169390978,288.877169390978,0.027122974395752,0.0560226440429688,0.174615859985352,16,-33.5731339,115.1929535,"Macroalgae",1
"6",6,"r20150526_024446_wa-gb-auv-01","PR_20150526_025021_920_FC16",-22.1610431671143,0.434125910510987,0.434125910510987,56.2614400334907,56.2614400334907,-0.00605344772338867,0.060117244720459,0.185348510742188,1,-33.5731345,115.1930714,"Macroalgae",1
"7",7,"r20150526_024446_wa-gb-auv-01","PR_20150526_025032_423_FC16",-22.2449913024902,0.384318009206331,0.384318009206331,26.6696906737239,26.6696906737239,-0.0584495067596436,0.0673019886016846,0.145610809326172,1,-33.5731364,115.1931938,"Macroalgae",1
"8",8,"r20150526_024446_wa-gb-auv-01","PR_20150526_025042_926_FC16",-22.247241973877,0.395865906685073,0.395865906685073,347.601763595058,347.601763595058,-0.0506887435913086,0.0578532218933105,0.149864196777344,64,-33.5731396,115.1933141,"Macroalgae",1
"9",9,"r20150526_024446_wa-gb-auv-01","PR_20150526_025053_430_FC16",-22.2092571258545,0.339505672453521,0.339505672453521,346.745969470796,346.745969470796,-0.0171184539794922,0.0483369827270508,0.149864196777344,16,-33.5731432,115.1934344,"Macroalgae",1
"10",10,"r20150526_024446_wa-gb-auv-01","PR_20150526_025103_934_FC16",-22.2012577056885,0.234279174646787,0.234279174646787,0.714740531466612,0.714740531466612,-0.0158956050872803,0.03251051902771,0.119497299194336,16,-33.5731472,115.193555,"Macroalgae",1
"11",11,"r20150526_024446_wa-gb-auv-01","PR_20150526_025114_438_FC16",-22.2028312683105,0.199129425746702,0.199129425746702,327.770293845699,327.770293845699,-0.0300009250640869,0.0356452465057373,0.0962562561035156,32,-33.5731489,115.1936737,"Macroalgae",0
"12",12,"r20150526_024446_wa-gb-auv-01","PR_20150526_025124_943_FC16",-22.123197555542,0.202092447163682,0.202092447163682,299.982605491999,299.982605491999,0.0112273693084717,0.0289299488067627,0.105690002441406,16,-33.5731541,115.1937921,"Macroalgae",1
"13",13,"r20150526_024446_wa-gb-auv-01","PR_20150526_025135_447_FC16",-22.0975284576416,0.0948353393209208,0.0948353393209208,283.285491372794,283.285491372794,0.0161504745483398,0.0167055130004883,0.0647087097167969,16,-33.573161,115.1939134,"Macroalgae",1
"14",14,"r20150526_024446_wa-gb-auv-01","PR_20150526_025145_951_FC16",-22.0966854095459,0.051000872685603,0.051000872685603,351.699440606635,351.699440606635,0.00331950187683105,0.0106556415557861,0.0602359771728516,1,-33.5731633,115.1940333,"Macroalgae",1
"15",15,"r20150526_024446_wa-gb-auv-01","PR_20150526_025156_454_FC16",-22.1166839599609,0.35597085744634,0.35597085744634,35.6524403170854,35.6524403170854,0.0127763748168945,0.0450515747070312,0.173913955688477,1,-33.5731688,115.1941517,"Macroalgae",1
"16",16,"r20150526_024446_wa-gb-auv-01","PR_20150526_025206_958_FC16",-22.1671714782715,0.426586098769751,0.426586098769751,38.7545887419412,38.7545887419412,-0.00126433372497559,0.0536243915557861,0.215150833129883,1,-33.5731732,115.1942735,"Macroalgae",0
"17",17,"r20150526_024446_wa-gb-auv-01","PR_20150526_025217_462_FC16",-22.2011585235596,0.349526421551607,0.349526421551607,22.0459580711708,22.0459580711708,-0.000166177749633789,0.0467236042022705,0.167011260986328,1,-33.5731776,115.1943948,"Macroalgae",1
"18",18,"r20150526_024446_wa-gb-auv-01","PR_20150526_025227_965_FC16",-22.2036418914795,0.328312979763764,0.328312979763764,25.5321792252929,25.5321792252929,0.0297131538391113,0.048133373260498,0.142627716064453,1,-33.5731839,115.1945156,"Macroalgae",0
"19",19,"r20150526_024446_wa-gb-auv-01","PR_20150526_025238_468_FC16",-22.2590656280518,0.392338237870018,0.392338237870018,52.9475060420252,52.9475060420252,0.00773859024047852,0.0537738800048828,0.168098449707031,1,-33.5731916,115.194636,"Macroalgae",0
"20",20,"r20150526_024446_wa-gb-auv-01","PR_20150526_025248_971_FC16",-22.3442192077637,0.301660857808015,0.301660857808015,63.8471834467049,63.8471834467049,-0.0399308204650879,0.0456557273864746,0.153825759887695,1,-33.573192,115.1947541,"Macroalgae",1
"21",21,"r20150526_024446_wa-gb-auv-01","PR_20150526_025259_473_FC16",-22.3671188354492,0.0414527237817301,0.0414527237817301,302.714029316695,302.714029316695,-0.0455307960510254,0.0455307960510254,0.0832061767578125,64,-33.5731962,115.1948762,"Macroalgae",1
"22",22,"r20150526_024446_wa-gb-auv-01","PR_20150526_025309_976_FC16",-22.3171463012695,0.428524532483033,0.428524532483033,268.581940252618,268.581940252618,-0.0348641872406006,0.0593597888946533,0.193756103515625,16,-33.5732014,115.1949985,"Macroalgae",1
"23",23,"r20150526_024446_wa-gb-auv-01","PR_20150526_025320_479_FC16",-22.220027923584,0.663627717779783,0.663627717779783,272.864600978276,272.864600978276,-0.0290873050689697,0.0981285572052002,0.274065017700195,16,-33.5732047,115.195118,"Macroalgae",0
"24",24,"r20150526_024446_wa-gb-auv-01","PR_20150526_025330_983_FC16",-21.9923362731934,0.469918703204926,0.469918703204926,267.407419927258,267.407419927258,-0.000845193862915039,0.0610349178314209,0.207391738891602,16,-33.5732095,115.1952364,"Macroalgae",1
"25",25,"r20150526_024446_wa-gb-auv-01","PR_20150526_025341_487_FC16",-21.9011878967285,0.127561894509422,0.127561894509422,255.847622298353,255.847622298353,0.0565831661224365,0.0567800998687744,0.0967826843261719,16,-33.573213,115.1953583,"Macroalgae",1
"26",26,"r20150526_024446_wa-gb-auv-01","PR_20150526_025351_990_FC16",-21.9004001617432,0.504414396758442,0.504414396758442,100.443591344274,100.443591344274,0.101864337921143,0.101864337921143,0.2423095703125,1,-33.573218,115.1954788,"Macroalgae",1
