"","cells","Class","n","coords.x1","coords.x2","ID","depth","slope4","slope8","aspect4","aspect8","tpi","tri","roughness","flowdir"
"1","10430","Unconsolidated",74,115.378092065333,-33.3995120664,1,-30,0,0,90,90,0,0,0,64
"2","10674","Unconsolidated",97,115.376987559794,-33.4003691931959,2,-30,0.0616523809731007,0.0616523809731007,270,270,0.25,0.25,1,8
"3","10675","Unconsolidated",2,115.37763415,-33.399940835,3,-30,1.98784669911844e-16,1.98784669911844e-16,90,90,0,0,0,128
"4","11822","Unconsolidated",26,115.184871788462,-33.4137401280769,4,-40,0.0836161896586418,0.0836161896586418,338.363555908203,338.363555908203,-0.25,0.75,2,128
"5","11823","Unconsolidated",39,115.185585187037,-33.4134392590741,5,-39,0.192103356122971,0.192103356122971,74.3516998291016,74.3516998291016,1.25,1.25,2,1
"6","14084","Unconsolidated",80,115.327295367901,-33.4368728809877,6,-32,0.103632993996143,0.103632993996143,360,360,-0.375,0.375,1,32
"7","14085","Unconsolidated",55,115.328139746429,-33.4371950596429,7,-32,0.120597936213017,0.120597936213017,329.240997314453,329.240997314453,-0.5,0.5,1,128
"8","14153","total.seagrass",45,115.499255573437,-33.4365499215625,8,-15,0.0836191400885582,0.0836191400885582,338.358459472656,338.358459472656,-0.25,0.25,1,64
"9","14154","total.seagrass",14,115.500477147059,-33.4351448011765,9,-15,0.120597936213017,0.120597936213017,329.240997314453,329.240997314453,-0.5,0.5,1,128
"10","14330","Unconsolidated",15,115.328770993333,-33.4375077786667,10,-31,0.120598845183849,0.120598845183849,329.240264892578,329.240264892578,0.125,0.375,2,64
"11","14374","Unconsolidated",53,115.43926325,-33.438617833,11,-23,0.120833724737167,0.120833724737167,310.033630371094,310.033630371094,0.375,0.375,1,16
"12","14375","Unconsolidated",40,115.440750372,-33.4385925998,12,-23,0.0402779616415501,0.0402779616415501,310.033630371094,310.033630371094,0.125,0.125,1,32
"13","18887","Unconsolidated",118,115.083631022131,-33.4863207645082,13,-40,0.13386107981205,0.13386107981205,292.773620605469,292.773620605469,-0.5,0.5,1,64
"14","18888","Unconsolidated",34,115.085968668571,-33.4866662374286,14,-39,0.13386107981205,0.13386107981205,292.773620605469,292.773620605469,0.125,0.375,2,16
"15","19024","total.seagrass",107,115.426915648413,-33.4858485583333,15,-17,0.229552626609802,0.229552626609802,289.791046142578,289.791046142578,-0.25,0.75,2,16
"16","19025","total.seagrass",49,115.428246757303,-33.4868816667416,16,-16,0.13386107981205,0.13386107981205,292.773620605469,292.773620605469,0.125,0.375,2,16
"17","19270","total.seagrass",8,115.429589591667,-33.4875788883333,17,-16,0.133864372968674,0.133864372968674,292.773040771484,292.773040771484,-0.125,0.375,2,32
"18","19387","Unconsolidated",64,115.109678878125,-33.4910674998438,18,-36,0.0961315780878067,0.0961315780878067,74.364990234375,74.364990234375,0.5,0.5,1,1
"19","19388","Unconsolidated",49,115.110440542857,-33.49202915,19,-37,0.123432621359825,0.123432621359825,90,90,-0.375,0.375,1,128
"20","19633","Unconsolidated",27,115.111049874074,-33.4926979622222,20,-37,0.13387094438076,0.13387094438076,67.228141784668,67.228141784668,-0.5,0.5,1,1
"21","19642","Unconsolidated",59,115.134379240678,-33.4945140111864,21,-35,0.0402929522097111,0.0402929522097111,310.015716552734,310.015716552734,-0.125,0.125,1,64
"22","19643","Unconsolidated",55,115.135835669091,-33.4947542125455,22,-35,0.0836266875267029,0.0836266875267029,338.345428466797,338.345428466797,-0.25,0.25,1,64
"23","19888","Unconsolidated",15,115.137050773333,-33.4952245573333,23,-34,0.172769889235497,0.172769889235497,296.735565185547,296.735565185547,0.625,0.875,3,16
"24","19973","Unconsolidated",57,115.349205865152,-33.4955601251515,24,-25,0.0805872306227684,0.0805872306227684,310.014892578125,310.014892578125,-0.375,0.375,1,32
"25","19974","Unconsolidated",91,115.351013779121,-33.4960551097802,25,-25,0.0961367264389992,0.0961367264389992,285.634155273438,285.634155273438,-0.75,0.75,1,16
"26","20652","Unconsolidated",79,115.2090497925,-33.5028910625,26,-32,0.192288354039192,0.192288354039192,285.632873535156,285.632873535156,-0.25,0.5,3,16
"27","20653","Unconsolidated",59,115.211116064407,-33.5036757059322,27,-31,0.201477617025375,0.201477617025375,310.012451171875,310.012451171875,0.25,0.75,2,16
"28","20731","total.seagrass",52,115.406869030189,-33.5040635216981,28,-17,0.183964595198631,0.183964595198631,350.342193603516,350.342193603516,0.125,0.625,2,64
"29","20732","total.seagrass",48,115.408497807018,-33.5038473687719,29,-17,0.241243973374367,0.241243973374367,329.221374511719,329.221374511719,-0.375,0.875,3,64
"30","21188","Unconsolidated",60,115.324239005,-33.5093976391667,30,-25,0,0,90,90,0,0,0,64
"31","21433","Unconsolidated",26,115.324905119231,-33.5102128207692,31,-25,9.93923349559222e-17,9.93923349559222e-17,90,90,0,0,0,64
"32","21434","Unconsolidated",74,115.325954193506,-33.511065021948,32,-25,0.040297731757164,0.040297731757164,310.010009765625,310.010009765625,-0.125,0.125,1,32
"33","21721","total.seagrass",24,115.430687388571,-33.5146290945714,33,-13,0.120895080268383,0.120895080268383,310.009185791016,310.009185791016,0.125,0.375,2,16
"34","21965","total.seagrass",36,115.429572575,-33.5154730304545,34,-13,0.201494693756104,0.201494693756104,310.008361816406,310.008361816406,0.125,0.625,2,16
"35","21966","total.seagrass",3,115.430148866667,-33.5149905566667,35,-12,0.0402990989387035,0.0402990989387035,49.9916229248047,49.9916229248047,1.125,1.125,2,16
"36","23667","total.seagrass",34,115.395825416667,-33.5347520833333,36,-14,0,0,90,90,0,0,0,32
"37","23911","total.seagrass",23,115.394717251613,-33.5351837632258,37,-14,0.0836322829127312,0.0836322829127312,21.6642208099365,21.6642208099365,-0.25,0.25,1,64
"38","23912","total.seagrass",9,115.395247777778,-33.53497389,38,-14,0.0403045676648617,0.0403045676648617,49.9981498718262,49.9981498718262,-0.125,0.125,1,64
"39","24327","Unconsolidated",108,115.208888643519,-33.5407086877778,39,-29,0.0617520622909069,0.0617520622909069,270,270,-0.25,0.25,1,32
"40","24328","Unconsolidated",40,115.210551245,-33.54094716625,40,-29,0.123503983020782,0.123503983020782,270,270,-0.625,0.625,1,16
