"","total.seagrass","Turf.algae","total.sponges","other.inverts","corals","Unconsolidated","Consolidated","Macroalgae","dominant","Latitude","Longitude","Transect.id","depth","slope4","slope8","aspect4","aspect8","tpi","tri","roughness","flowdir"
"1",20,0,0,0,0,80,0,0,"Unconsolidated",-33.59453167,115.2168617,"HPZ.2",-15.2487993240356,0.604057669639587,0.604057669639587,343.414031982422,343.414031982422,-0.0128927230834961,0.0829839706420898,0.263387680053711,16
"2",30.44,0,0,0,0,56.52,0,13.04,"Unconsolidated",-33.59453333,115.21683,"HPZ.2",-15.2729415893555,0.618265390396118,0.618265390396118,347.3701171875,347.3701171875,-0.00871753692626953,0.0845365524291992,0.255489349365234,16
"3",24,0,0,0,0,60,0,16,"Unconsolidated",-33.59453,115.2167983,"HPZ.2",-15.2729415893555,0.618265390396118,0.618265390396118,347.3701171875,347.3701171875,-0.00871753692626953,0.0845365524291992,0.255489349365234,16
"4",44,0,0,0,0,48,0,8,"Unconsolidated",-33.594525,115.2167717,"HPZ.2",-15.3678045272827,0.518757581710815,0.518757581710815,342.106475830078,342.106475830078,-0.00776469707489014,0.0709184408187866,0.226718902587891,16
"5",48,0,0,0,0,48,0,4,"total.seagrass",-33.59452,115.2167367,"HPZ.2",-15.3678045272827,0.518757581710815,0.518757581710815,342.106475830078,342.106475830078,-0.00776469707489014,0.0709184408187866,0.226718902587891,16
"6",36,0,0,0,0,56,0,8,"Unconsolidated",-33.59451833,115.216695,"HPZ.2",-15.3924932479858,0.524624884128571,0.524624884128571,345.700347900391,345.700347900391,-0.00707018375396729,0.0718251466751099,0.219746589660645,16
"7",32,0,0,0,0,44,0,24,"Unconsolidated",-33.594515,115.2166533,"HPZ.2",-15.3924932479858,0.524624884128571,0.524624884128571,345.700347900391,345.700347900391,-0.00707018375396729,0.0718251466751099,0.219746589660645,16
"8",52,0,0,0,0,48,0,0,"total.seagrass",-33.59450667,115.21661,"HPZ.2",-15.413535118103,0.519755244255066,0.519755244255066,347.430297851562,347.430297851562,-0.00691628456115723,0.0718770027160645,0.212890625,16
"9",24,0,0,0,0,76,0,0,"Unconsolidated",-33.59450167,115.2165633,"HPZ.2",-15.413535118103,0.519755244255066,0.519755244255066,347.430297851562,347.430297851562,-0.00691628456115723,0.0718770027160645,0.212890625,16
"10",24,0,0,0,0,76,0,0,"Unconsolidated",-33.59449,115.2165233,"HPZ.2",-15.413535118103,0.519755244255066,0.519755244255066,347.430297851562,347.430297851562,-0.00691628456115723,0.0718770027160645,0.212890625,16
"11",48,0,0,0,0,52,0,0,"Unconsolidated",-33.594485,115.2164817,"HPZ.2",-15.4364767074585,0.51670891046524,0.51670891046524,347.336120605469,347.336120605469,-0.011055588722229,0.0712114572525024,0.20969295501709,16
"12",56,0,0,0,0,32,0,12,"total.seagrass",-33.594475,115.2164417,"HPZ.2",-15.4364767074585,0.51670891046524,0.51670891046524,347.336120605469,347.336120605469,-0.011055588722229,0.0712114572525024,0.20969295501709,16
"13",24,0,0,0,0,24,0,52,"Macroalgae",-33.59446833,115.2164083,"HPZ.2",-15.4364767074585,0.51670891046524,0.51670891046524,347.336120605469,347.336120605469,-0.011055588722229,0.0712114572525024,0.20969295501709,16
"14",24,0,0,0,0,52,0,24,"Unconsolidated",-33.59446833,115.2163667,"HPZ.2",-15.457612991333,0.496061354875565,0.496061354875565,352.221771240234,352.221771240234,-0.0186264514923096,0.0667121410369873,0.196124076843262,32
"15",12,0,0,0,0,68,0,20,"Unconsolidated",-33.59447167,115.21632,"HPZ.2",-15.457612991333,0.496061354875565,0.496061354875565,352.221771240234,352.221771240234,-0.0186264514923096,0.0667121410369873,0.196124076843262,32
"16",20,0,0,0,0,44,0,36,"Unconsolidated",-33.594465,115.2162883,"HPZ.2",-15.4558410644531,0.470963895320892,0.470963895320892,5.72187566757202,5.72187566757202,-0.0137238502502441,0.0652177333831787,0.175713539123535,1
"17",44,0,0,0,0,40,0,16,"total.seagrass",-33.59445333,115.2162583,"HPZ.2",-15.4558410644531,0.470963895320892,0.470963895320892,5.72187566757202,5.72187566757202,-0.0137238502502441,0.0652177333831787,0.175713539123535,1
"18",20,0,0,0,0,52,0,28,"Unconsolidated",-33.59444167,115.2162367,"HPZ.2",-15.4558410644531,0.470963895320892,0.470963895320892,5.72187566757202,5.72187566757202,-0.0137238502502441,0.0652177333831787,0.175713539123535,1
"19",0,0,0,0,0,48,0,52,"Macroalgae",-33.59443,115.2162167,"HPZ.2",-15.5289525985718,0.430730283260345,0.430730283260345,3.29013276100159,3.29013276100159,-0.00659334659576416,0.0585759878158569,0.177602767944336,32
"20",8,0,0,0,0,48,0,44,"Unconsolidated",-33.594425,115.2161867,"HPZ.2",-15.5289525985718,0.430730283260345,0.430730283260345,3.29013276100159,3.29013276100159,-0.00659334659576416,0.0585759878158569,0.177602767944336,32
"21",28,0,0,0,0,56,0,16,"Unconsolidated",-33.59442,115.216155,"HPZ.2",-15.5158452987671,0.490580052137375,0.490580052137375,358.263031005859,358.263031005859,0.0116169452667236,0.0672433376312256,0.195773124694824,16
"22",20,0,0,0,0,72,0,8,"Unconsolidated",-33.59441333,115.216135,"HPZ.2",-15.5158452987671,0.490580052137375,0.490580052137375,358.263031005859,358.263031005859,0.0116169452667236,0.0672433376312256,0.195773124694824,16
"23",0,0,0,0,0,88,0,12,"Unconsolidated",-33.59441167,115.2161083,"HPZ.2",-15.5158452987671,0.490580052137375,0.490580052137375,358.263031005859,358.263031005859,0.0116169452667236,0.0672433376312256,0.195773124694824,16
"24",44,0,0,0,0,44,0,8,"total.seagrass",-33.594405,115.2160817,"HPZ.2",-15.5158452987671,0.490580052137375,0.490580052137375,358.263031005859,358.263031005859,0.0116169452667236,0.0672433376312256,0.195773124694824,16
"25",56,0,0,0,0,44,0,0,"total.seagrass",-33.59440167,115.2160583,"HPZ.2",-15.535400390625,0.534407496452332,0.534407496452332,337.760894775391,337.760894775391,0.0109773874282837,0.0727084875106812,0.228463172912598,16
"26",8,0,0,0,0,40,0,52,"Macroalgae",-33.59439833,115.2160367,"HPZ.2",-15.535400390625,0.534407496452332,0.534407496452332,337.760894775391,337.760894775391,0.0109773874282837,0.0727084875106812,0.228463172912598,16
"27",64,0,0,0,0,36,0,0,"total.seagrass",-33.594385,115.2160133,"HPZ.2",-15.535400390625,0.534407496452332,0.534407496452332,337.760894775391,337.760894775391,0.0109773874282837,0.0727084875106812,0.228463172912598,16
"28",28,0,0,0,0,36,0,36,"Unconsolidated",-33.59437833,115.2159917,"HPZ.2",-15.535400390625,0.534407496452332,0.534407496452332,337.760894775391,337.760894775391,0.0109773874282837,0.0727084875106812,0.228463172912598,16
"29",28,0,0,0,0,36,0,36,"Unconsolidated",-33.59437833,115.21596,"HPZ.2",-15.5909337997437,0.48013499379158,0.48013499379158,329.308929443359,329.308929443359,-0.0133117437362671,0.0645886659622192,0.223769187927246,16
"30",8,0,0,0,0,56,0,36,"Unconsolidated",-33.59437833,115.2159317,"HPZ.2",-15.5909337997437,0.48013499379158,0.48013499379158,329.308929443359,329.308929443359,-0.0133117437362671,0.0645886659622192,0.223769187927246,16
"31",20,0,0,0,0,76,4,0,"Unconsolidated",-33.59437667,115.2159133,"HPZ.2",-15.5909337997437,0.48013499379158,0.48013499379158,329.308929443359,329.308929443359,-0.0133117437362671,0.0645886659622192,0.223769187927246,16
"32",4,0,0,0,0,76,4,16,"Unconsolidated",-33.59436833,115.21589,"HPZ.2",-15.5909337997437,0.48013499379158,0.48013499379158,329.308929443359,329.308929443359,-0.0133117437362671,0.0645886659622192,0.223769187927246,16
"33",16,0,0,0,0,84,0,0,"Unconsolidated",-33.594355,115.21587,"HPZ.2",-15.5909337997437,0.48013499379158,0.48013499379158,329.308929443359,329.308929443359,-0.0133117437362671,0.0645886659622192,0.223769187927246,16
"34",8,0,0,0,0,84,4,4,"Unconsolidated",-33.59435667,115.2158517,"HPZ.2",-15.6237907409668,0.328882128000259,0.328882128000259,339.736480712891,339.736480712891,-0.015756368637085,0.0462462902069092,0.155473709106445,16
"35",4,0,0,0,0,72,0,24,"Unconsolidated",-33.59434833,115.2158233,"HPZ.2",-15.6237907409668,0.328882128000259,0.328882128000259,339.736480712891,339.736480712891,-0.015756368637085,0.0462462902069092,0.155473709106445,16
"36",0,0,0,0,0,80,0,20,"Unconsolidated",-33.59434167,115.2157967,"HPZ.2",-15.6651010513306,0.250164955854416,0.250164955854416,352.266815185547,352.266815185547,-0.00540256500244141,0.0342910289764404,0.117836952209473,16
"37",16,0,0,0,0,40,0,44,"Macroalgae",-33.59433833,115.21577,"HPZ.2",-15.6651010513306,0.250164955854416,0.250164955854416,352.266815185547,352.266815185547,-0.00540256500244141,0.0342910289764404,0.117836952209473,16
"38",0,0,0,0,0,60,0,40,"Unconsolidated",-33.59433667,115.2157417,"HPZ.2",-15.6651163101196,0.214416295289993,0.214416295289993,356.802764892578,356.802764892578,0.00116896629333496,0.0288090705871582,0.0890626907348633,16
"39",0,0,0,0,0,64,0,36,"Unconsolidated",-33.59433333,115.215715,"HPZ.2",-15.6651163101196,0.214416295289993,0.214416295289993,356.802764892578,356.802764892578,0.00116896629333496,0.0288090705871582,0.0890626907348633,16
"40",0,0,0,0,0,72,0,28,"Unconsolidated",-33.59433333,115.215685,"HPZ.2",-15.6651163101196,0.214416295289993,0.214416295289993,356.802764892578,356.802764892578,0.00116896629333496,0.0288090705871582,0.0890626907348633,16
"41",0,0,0,0,0,88,0,12,"Unconsolidated",-33.59433667,115.2156667,"HPZ.2",-15.6651163101196,0.214416295289993,0.214416295289993,356.802764892578,356.802764892578,0.00116896629333496,0.0288090705871582,0.0890626907348633,16
"42",0,0,0,0,0,88,0,12,"Unconsolidated",-33.59434167,115.2156467,"HPZ.2",-15.6651163101196,0.214416295289993,0.214416295289993,356.802764892578,356.802764892578,0.00116896629333496,0.0288090705871582,0.0890626907348633,16
"43",0,0,0,0,0,96,0,4,"Unconsolidated",-33.59435,115.2156183,"HPZ.2",-15.630428314209,0.251845955848694,0.251845955848694,359.144409179688,359.144409179688,-0.0049431324005127,0.0331707000732422,0.0950813293457031,1
"44",4,0,0,0,0,84,4,8,"Unconsolidated",-33.59435333,115.2155867,"HPZ.2",-15.630428314209,0.251845955848694,0.251845955848694,359.144409179688,359.144409179688,-0.0049431324005127,0.0331707000732422,0.0950813293457031,1
"45",16,0,0,0,0,56,0,28,"Unconsolidated",-33.59435167,115.2155667,"HPZ.2",-15.630428314209,0.251845955848694,0.251845955848694,359.144409179688,359.144409179688,-0.0049431324005127,0.0331707000732422,0.0950813293457031,1
"46",40,0,0,0,0,56,0,4,"Unconsolidated",-33.59435,115.2155433,"HPZ.2",-15.630428314209,0.251845955848694,0.251845955848694,359.144409179688,359.144409179688,-0.0049431324005127,0.0331707000732422,0.0950813293457031,1
"47",28,0,0,0,0,44,4,24,"Unconsolidated",-33.59434667,115.2155167,"HPZ.2",-15.673469543457,0.303845643997192,0.303845643997192,345.394287109375,345.394287109375,0.00972223281860352,0.0411303043365479,0.12458324432373,16
"48",8,0,0,0,0,72,4,16,"Unconsolidated",-33.59434,115.2154917,"HPZ.2",-15.673469543457,0.303845643997192,0.303845643997192,345.394287109375,345.394287109375,0.00972223281860352,0.0411303043365479,0.12458324432373,16
"49",64,0,0,0,0,32,0,4,"total.seagrass",-33.59434,115.2154683,"HPZ.2",-15.673469543457,0.303845643997192,0.303845643997192,345.394287109375,345.394287109375,0.00972223281860352,0.0411303043365479,0.12458324432373,16
"50",16,0,0,0,0,48,12,24,"Unconsolidated",-33.59434,115.2154417,"HPZ.2",-15.673469543457,0.303845643997192,0.303845643997192,345.394287109375,345.394287109375,0.00972223281860352,0.0411303043365479,0.12458324432373,16
"51",36,0,0,0,0,60,0,4,"Unconsolidated",-33.59434,115.215415,"HPZ.2",-15.6921882629395,0.334825247526169,0.334825247526169,343.307006835938,343.307006835938,0.00490903854370117,0.046353816986084,0.140917778015137,16
"52",36,0,0,0,0,52,0,12,"Unconsolidated",-33.594345,115.2153917,"HPZ.2",-15.6921882629395,0.334825247526169,0.334825247526169,343.307006835938,343.307006835938,0.00490903854370117,0.046353816986084,0.140917778015137,16
"53",32,0,0,0,0,56,4,8,"Unconsolidated",-33.59434833,115.215355,"HPZ.2",-15.6421127319336,0.314187675714493,0.314187675714493,346.080963134766,346.080963134766,-0.00197672843933105,0.0431604385375977,0.131999969482422,16
