"","cells","Class","n","coords.x1","coords.x2","ID","depth","slope4","slope8","aspect4","aspect8","tpi","tri","roughness","flowdir"
"1","13439","Unconsolidated",10,115.5521282,-33.4289051292308,1,-13,0.161100566387177,0.161100566387177,310.036865234375,310.036865234375,0.25,0.5,2,16
"2","13684","Seagrasses",8,115.551827075,-33.431090625625,2,-13,0.198441088199615,0.198441088199615,321.568420410156,321.568420410156,-0.5,0.75,3,32
"3","13929","Seagrasses",9,115.551877272727,-33.4336295463636,3,-12,0.198443308472633,0.198443308472633,321.567626953125,321.567626953125,-0.125,0.625,2,64
"4","14174","Turf.algae",13,115.551958817647,-33.4360313723529,4,-11,0.172674536705017,0.172674536705017,296.751495361328,296.751495361328,0.375,0.625,2,16
"5","14419","Turf.algae",9,115.551865625,-33.438543750625,5,-11,0.212080508470535,0.212080508470535,299.251739501953,299.251739501953,-0.125,0.625,2,16
"6","14664","Seagrasses",8,115.552078886667,-33.441074444,6,-10,0.172682479023933,0.172682479023933,296.750183105469,296.750183105469,0.625,0.625,2,16
"7","14909","Turf.algae",12,115.552269611765,-33.4435813717647,7,-10,0.156367376446724,0.156367376446724,279.537200927734,279.537200927734,0.25,0.5,2,16
"8","15154","Seagrasses",11,115.55237811875,-33.44616354125,8,-10,0.217443242669106,0.217443242669106,276.842987060547,276.842987060547,0.125,0.625,2,16
"9","15399","Turf.algae",11,115.552332364706,-33.4487343141176,9,-10,0.217449426651001,0.217449426651001,276.842803955078,276.842803955078,-0.125,0.625,2,16
"10","15644","Turf.algae",9,115.5517451,-33.4512,10,-10,0.161125063896179,0.161125063896179,310.029541015625,310.029541015625,-0.5,0.75,2,32
"11","15889","Unconsolidated",14,115.551348155556,-33.4536999994444,11,-9,0.103632993996143,0.103632993996143,360,360,0.125,0.375,2,64
"12","16134","Unconsolidated",8,115.551137258824,-33.4561029405882,12,-9,0.12060521543026,0.12060521543026,30.7648048400879,30.7648048400879,-0.5,0.5,1,64
"13","16379","Turf.algae",17,115.55058492381,-33.4586079366667,13,-8,0.183961912989616,0.183961912989616,9.65289115905762,9.65289115905762,-0.125,0.625,2,64
"14","16624","Turf.algae",12,115.550419695455,-33.4609204540909,14,-7,0.235204786062241,0.235204786062241,352.463897705078,352.463897705078,-0.125,0.875,3,64
"15","16817","Seagrasses",12,115.421012961111,-33.46364537,15,-22,0.120607942342758,0.120607942342758,329.233001708984,329.233001708984,-0.5,0.5,1,128
"16","16869","Turf.algae",5,115.550419042857,-33.4637642842857,16,-6,0.238076999783516,0.238076999783516,319.619354248047,319.619354248047,0,1,3,64
"17","17062","Seagrasses",5,115.422214271429,-33.4655380957143,17,-21,0.120608851313591,0.120608851313591,329.232299804688,329.232299804688,0.125,0.375,2,64
"18","17063","Seagrasses",4,115.4234,-33.46695,18,-21,0.161141410470009,0.161141410470009,310.024658203125,310.024658203125,-0.25,0.5,2,32
"19","17113","Turf.algae",4,115.550105566667,-33.4662277766667,19,-7,NA,NA,NA,NA,NA,NA,2,32
"20","17114","Unconsolidated",4,115.550225922222,-33.4662888877778,20,-5,NA,NA,NA,NA,NA,NA,3,16
"21","17308","Seagrasses",6,115.424333342857,-33.4680214285714,21,-20,0.161144137382507,0.161144137382507,310.023864746094,310.023864746094,0.25,0.5,2,16
"22","17309","Seagrasses",5,115.42555,-33.469426668,22,-20,0.161144137382507,0.161144137382507,310.023864746094,310.023864746094,-0.25,0.5,2,32
"23","17554","Seagrasses",15,115.426605546667,-33.4713211113333,23,-19,0.120860286056995,0.120860286056995,310.023040771484,310.023040771484,0.375,0.375,1,16
"24","17604","Seagrasses",3,115.552355566667,-33.47006111,24,-3,NA,NA,NA,NA,NA,NA,4,16
"25","17799","Seagrasses",2,115.427416633333,-33.4728833366667,25,-19,0.12061158567667,0.12061158567667,329.230102539062,329.230102539062,-0.125,0.375,2,32
"26","17800","Seagrasses",7,115.428083325,-33.47410625125,26,-19,0.103632993996143,0.103632993996143,360,360,-0.375,0.375,1,32
"27","18045","Seagrasses",7,115.429377777778,-33.4759018522222,27,-18,0.133164584636688,0.133164584636688,346.603454589844,346.603454589844,0.25,0.5,2,64
"28","18046","Seagrasses",3,115.43029165,-33.4771458325,28,-18,0.238091424107552,0.238091424107552,319.615295410156,319.615295410156,-0.25,0.75,3,64
"29","18291","Seagrasses",11,115.431394869231,-33.4789410253846,29,-17,0.241731762886047,0.241731762886047,310.020599365234,310.020599365234,0,0.75,2,16
"30","18536","Seagrasses",5,115.43239668,-33.48065,30,-16,0.161157771945,0.161157771945,310.019775390625,310.019775390625,0.5,0.5,2,16
"31","18537","Seagrasses",2,115.43310835,-33.481783335,31,-16,0.0402895398437977,0.0402895398437977,310.019775390625,310.019775390625,0.125,0.125,1,32
"32","18782","Turf.algae",5,115.434389575,-33.4834020825,32,-16,0,0,90,90,0,0,0,128
"33","18783","Seagrasses",4,115.4353567,-33.48462,33,-16,0.0402902215719223,0.0402902215719223,310.018981933594,310.018981933594,-0.125,0.125,1,128
"34","19028","Seagrasses",9,115.43645833,-33.486123333,34,-16,0.120616137981415,0.120616137981415,329.226470947266,329.226470947266,-0.5,0.5,1,64
"35","19274","Seagrasses",6,115.43839375,-33.48893541875,35,-15,0.161165952682495,0.161165952682495,310.017333984375,310.017333984375,-0.25,0.5,2,32
"36","19519","Turf.algae",7,115.439479622222,-33.4905759266667,36,-14,0.161168679594994,0.161168679594994,310.016510009766,310.016510009766,0.25,0.5,2,16
"37","19520","Seagrasses",2,115.440404175,-33.4918750025,37,-14,0.172761932015419,0.172761932015419,296.736907958984,296.736907958984,-0.375,0.625,2,32
"38","19765","Turf.algae",10,115.441552206667,-33.493735556,38,-13,0.12087869644165,0.12087869644165,310.015716552734,310.015716552734,0.375,0.375,1,16
"39","20010","Turf.algae",3,115.44250415,-33.495275,39,-13,0.0402936339378357,0.0402936339378357,310.014892578125,310.014892578125,0.125,0.125,1,32
"40","20011","Seagrasses",4,115.443458333333,-33.49659722,40,-13,0.0402936339378357,0.0402936339378357,49.9851036071777,49.9851036071777,0.125,0.125,1,128
"41","20256","Seagrasses",7,115.444516657143,-33.4985952385714,41,-13,4.96961674779611e-17,4.96961674779611e-17,90,90,0,0,0,64
"42","20502","Seagrasses",8,115.446662823077,-33.5015038453846,42,-13,0.133880808949471,0.133880808949471,292.770080566406,292.770080566406,-0.5,0.5,1,64
"43","20748","Seagrasses",9,115.448535,-33.503838334,43,-12,0.0518165417015553,0.0518165417015553,180,180,0.625,0.625,1,4
"44","20993","Seagrasses",4,115.449752783333,-33.5054027783333,44,-13,0.103632993996143,0.103632993996143,180,180,-0.375,0.375,1,8
"45","20994","Unconsolidated",6,115.450764271429,-33.5066571414286,45,-13,0.133887380361557,0.133887380361557,112.768905639648,112.768905639648,0,0.5,2,1
"46","21239","Seagrasses",4,115.4519875,-33.50790208375,46,-13,0.0518165417015553,0.0518165417015553,360,360,0,0.25,2,128
"47","21240","Seagrasses",11,115.453411530769,-33.5093769230769,47,-13,0.133167266845703,0.133167266845703,346.598602294922,346.598602294922,-0.125,0.375,2,64
"48","21485","Seagrasses",6,115.454511116667,-33.510669445,48,-12,0.120625257492065,0.120625257492065,329.219207763672,329.219207763672,0.5,0.5,1,16
"49","21486","Seagrasses",2,115.45529165,-33.511533335,49,-12,0.0836289897561073,0.0836289897561073,338.341461181641,338.341461181641,0.25,0.25,1,64
"50","21713","Seagrasses",8,115.411088891667,-33.5142430533333,50,-14,0.0402984134852886,0.0402984134852886,229.990814208984,229.990814208984,0,0.25,2,4
"51","21731","Seagrasses",7,115.456764285714,-33.5132999985714,51,-12,0,0,90,90,0,0,0,128
"52","21732","Seagrasses",3,115.457755566667,-33.51462222,52,-12,0,0,90,90,0,0,0,128
"53","21958","Seagrasses",8,115.4119812375,-33.51566041625,53,-15,0.0961573272943497,0.0961573272943497,285.630706787109,285.630706787109,-1.25,1.25,2,128
"54","21959","Turf.algae",4,115.4128976,-33.5169904771429,54,-13,0.172801747918129,0.172801747918129,296.730255126953,296.730255126953,0.75,0.75,2,16
"55","21977","Seagrasses",9,115.459305555556,-33.5162870355556,55,-12,0.103632993996143,0.103632993996143,2.54444377487161e-14,2.54444377487161e-14,-0.375,0.375,1,128
"56","21978","Seagrasses",6,115.460216666667,-33.5172416666667,56,-12,0.120897129178047,0.120897129178047,310.008361816406,310.008361816406,-0.625,0.625,1,64
"57","22204","Turf.algae",12,115.41385,-33.5187346146154,57,-13,0.123471848666668,0.123471848666668,270,270,0.625,0.625,2,16
"58","22205","Turf.algae",1,115.41538335,-33.51975,58,-13,0.0518165417015553,0.0518165417015553,180,180,0.125,0.125,1,4
"59","22223","Seagrasses",12,115.4610989625,-33.518665625,59,-11,0.0836299806833267,0.0836299806833267,338.339752197266,338.339752197266,0.25,0.25,1,64
"60","22450","Seagrasses",10,115.416114107692,-33.5212858969231,60,-14,0.0518165417015553,0.0518165417015553,180,180,-0.875,0.875,1,4
"61","22469","Turf.algae",11,115.463815283333,-33.5203333341667,61,-11,0.0961624830961227,0.0961624830961227,285.629852294922,285.629852294922,-0.5,0.5,1,16
"62","22470","Turf.algae",10,115.46613834,-33.521495,62,-10,0.123475417494774,0.123475417494774,270,270,0.375,0.375,1,16
"63","22695","Seagrasses",5,115.417216666667,-33.523544445,63,-14,0.0518165417015553,0.0518165417015553,0,0,-0.875,0.875,1,64
"64","22696","Seagrasses",3,115.417755533333,-33.5247055533333,64,-13,0.192329585552216,0.192329585552216,285.629425048828,285.629425048828,0,0.5,2,16
"65","22715","Turf.algae",2,115.46753335,-33.522475,65,-10,0.0961650609970093,0.0961650609970093,285.629425048828,285.629425048828,0.25,0.25,1,16
"66","22716","Turf.algae",11,115.469013891667,-33.523406945,66,-10,0.12347898632288,0.12347898632288,270,270,-0.375,0.375,1,64
"67","22717","Turf.algae",4,115.47031665,-33.524770835,67,-9,0.156507894396782,0.156507894396782,279.528564453125,279.528564453125,0.25,0.5,2,16
"68","22941","Seagrasses",10,115.41795695,-33.5260111108333,68,-13,0.133913695812225,0.133913695812225,292.764190673828,292.764190673828,-0.25,0.5,2,32
"69","22962","Turf.algae",18,115.471643511111,-33.52587037,69,-9,0.212243691086769,0.212243691086769,299.22705078125,299.22705078125,-0.125,0.625,2,16
"70","22963","Turf.algae",9,115.4732463,-33.5269574077778,70,-8,0.161206930875778,0.161206930875778,310.005126953125,310.005126953125,0.25,0.5,2,16
"71","23148","Seagrasses",3,115.3245875,-33.5295458325,71,-23,0.0403025150299072,0.0403025150299072,310.004302978516,310.004302978516,0.125,0.125,1,32
"72","23186","Seagrasses",17,115.419219605882,-33.5288970582353,72,-12,0.0403025150299072,0.0403025150299072,310.004302978516,310.004302978516,0.75,0.75,1,16
"73","23208","Turf.algae",4,115.474295825,-33.5276874975,73,-8,0.133916988968849,0.133916988968849,292.763580322266,292.763580322266,-0.125,0.375,2,32
"74","23209","Turf.algae",8,115.4759,-33.5292185177778,74,-7,0.120907381176949,0.120907381176949,310.004302978516,310.004302978516,0.625,0.625,1,16
"75","23393","Seagrasses",2,115.32505835,-33.53020833,75,-23,0.103632993996143,0.103632993996143,360,360,-0.375,0.375,1,32
"76","23394","Seagrasses",8,115.32585,-33.53135,76,-23,0.120632566511631,0.120632566511631,329.21337890625,329.21337890625,-0.5,0.5,1,128
"77","23431","Seagrasses",3,115.419827766667,-33.5303277766667,77,-12,0.0518165417015553,0.0518165417015553,180,180,0.875,0.875,1,1
"78","23432","Unconsolidated",9,115.420536116667,-33.5313583341667,78,-13,0.0961727946996689,0.0961727946996689,105.628135681152,105.628135681152,-0.25,0.25,1,128
"79","23454","Turf.algae",6,115.477366666667,-33.5307472216667,79,-7,0.0961727946996689,0.0961727946996689,285.628143310547,285.628143310547,0.25,0.25,1,16
"80","23455","Turf.algae",10,115.478347619048,-33.53162381,80,-7,0.0403031967580318,0.0403031967580318,310.003479003906,310.003479003906,-0.125,0.125,1,128
"81","23639","Seagrasses",8,115.32710001,-33.533313334,81,-22,0.0836319550871849,0.0836319550871849,338.336334228516,338.336334228516,0.25,0.25,1,64
"82","23640","Seagrasses",5,115.327925,-33.5344833333333,82,-22,0.0403038822114468,0.0403038822114468,310.002655029297,310.002655029297,0.125,0.125,1,32
"83","23677","Seagrasses",18,115.421607021053,-33.5338315789474,83,-13,0.0518165417015553,0.0518165417015553,360,360,-0.375,0.375,1,64
"84","23700","Seagrasses",19,115.479421533333,-33.5330958320833,84,-7,0.120911486446857,0.120911486446857,310.002655029297,310.002655029297,-0.375,0.375,1,64
"85","23701","Turf.algae",9,115.480704453333,-33.5343899993333,85,-6,0.161215126514435,0.161215126514435,310.002655029297,310.002655029297,0.25,0.5,2,16
"86","23885","Seagrasses",15,115.328679423529,-33.5357774505882,86,-22,0.0403045676648617,0.0403045676648617,310.001861572266,310.001861572266,-0.125,0.125,1,128
"87","23922","Seagrasses",3,115.422361133333,-33.5353277766667,87,-12,0.120913535356522,0.120913535356522,310.001861572266,310.001861572266,0.625,0.625,1,16
"88","23923","Seagrasses",12,115.42309305,-33.5367625,88,-12,0.103632993996143,0.103632993996143,0,0,0.375,0.375,1,64
"89","23946","Turf.algae",9,115.481937033333,-33.5357805555556,89,-6,0.201522037386894,0.201522037386894,310.001861572266,310.001861572266,-0.375,0.625,3,32
"90","23947","Seagrasses",5,115.48313166,-33.537021667,90,-5,0.277981996536255,0.277981996536255,318.211029052734,318.211029052734,0,1,3,16
"91","24130","Seagrasses",10,115.32988333,-33.537988333,91,-22,0.120635308325291,0.120635308325291,329.211181640625,329.211181640625,-0.5,0.5,1,128
"92","24131","Seagrasses",8,115.33077667,-33.539486666,92,-21,0.120915591716766,0.120915591716766,310.001037597656,310.001037597656,0.375,0.375,1,16
"93","24168","Seagrasses",18,115.42394417,-33.538764167,93,-12,4.96961674779611e-17,4.96961674779611e-17,90,90,0,0,0,64
"94","24192","Turf.algae",7,115.484226178571,-33.5381880957143,94,-4,0.217672348022461,0.217672348022461,276.835754394531,276.835754394531,0.625,0.875,3,16
"95","24193","Turf.algae",6,115.485666663636,-33.5394848481818,95,-3,0.156534314155579,0.156534314155579,279.526947021484,279.526947021484,1,1,2,16
"96","24376","Seagrasses",13,115.33183215,-33.5412095242857,96,-21,0.0403059348464012,0.0403059348464012,310.000213623047,310.000213623047,0.125,0.125,1,32
"97","24413","Seagrasses",8,115.4246166625,-33.5409395825,97,-12,0.0403059348464012,0.0403059348464012,310.000213623047,310.000213623047,-0.125,0.125,1,64
"98","24438","Turf.algae",7,115.486841675,-33.54050104,98,-4,0.247006818652153,0.247006818652153,270,270,-0.5,1,3,16
"99","24439","Unconsolidated",3,115.487779175,-33.5415541675,99,-3,NA,NA,NA,NA,NA,NA,3,16
